GeneID,UniqueNAME,Cell type,Type
KH2013:KH.C1.356,MATN1/3/4,SHP,De Novo
KH2013:KH.C1.638,KH2013:KH.C1.638_C17ORF105,SHP,De Novo
KH2013:KH.C10.72,ZFP318,SHP,Primed
KH2013:KH.C10.172,KH2013:KH.C10.172,SHP,De Novo
KH2013:KH.C13.183,ZNF703,SHP,Primed
KH2013:KH.C14.291,DACH1/2,SHP,De Novo
KH2013:KH.C5.45,GDH1/3,SHP,De Novo
