GeneID,log2FoldChange,logCPM,PValue,padj,GeneName
KH2013:KH.C10.162,0.1852410869,3.6483661514,0.5707350065,1,KH2013:KH.C10.162
KH2013:KH.C10.163,-0.7640833982,1.8674360805,0.195330258,1,KH2013:KH.C10.163
KH2013:KH.C10.164,-0.0650977131,5.693665115,0.7403658838,1,KH2013:KH.C10.164
KH2013:KH.C10.165,-0.7102927267,0.9237311932,0.5624377269,1,KH2013:KH.C10.165
KH2013:KH.C10.166,0.1747004372,3.0988867457,0.6730650046,1,KH2013:KH.C10.166
KH2013:KH.C10.168,0.0840336291,6.4697410088,0.6510197844,1,KH2013:KH.C10.168
KH2013:KH.C10.169,-0.285606079,6.4797472973,0.1430167933,1,PCIF1
KH2013:KH.C10.17,0.1746139844,5.1102208633,0.5063219546,1,KH2013:KH.C10.17
KH2013:KH.C10.170,0.0084098694,8.4144215634,0.9621982599,1,KH2013:KH.C10.170
KH2013:KH.C10.171,-0.690958768,2.4846173829,0.2383486067,1,RPP25
KH2013:KH.C10.172,0.0197236098,5.7055123837,0.966342945,1,KH2013:KH.C10.172
KH2013:KH.C10.173,3.5246131003,-0.9864172421,0.5242764903,1,KH2013:KH.C10.173
KH2013:KH.C10.174,0.1976177662,7.7343958353,0.2529240679,1,KH2013:KH.C10.174
KH2013:KH.C10.175,-0.2256931939,0.8184323488,0.8720244961,1,KH2013:KH.C10.175
KH2013:KH.C10.176,-0.7290871897,3.0453957017,0.0602310414,1,KH2013:KH.C10.176
KH2013:KH.C10.177,-0.0077610641,4.9148831968,1,1,KH2013:KH.C10.177
KH2013:KH.C10.178,-0.2933807163,5.3485892496,0.18998275,1,KH2013:KH.C10.178
KH2013:KH.C10.179,0.1836745139,6.6906333922,0.2979500221,1,KH2013:KH.C10.179
KH2013:KH.C10.18,0.0458090405,3.5041652769,1,1,KH2013:KH.C10.18
KH2013:KH.C10.180,-0.1721844337,4.8441225365,0.5096820783,1,KH2013:KH.C10.180
KH2013:KH.C10.181,-0.1002801067,5.1699935558,0.7310837232,1,PPIF
KH2013:KH.C10.182,-0.1038881077,-0.2098118367,1,1,KH2013:KH.C10.182
KH2013:KH.C10.183,-0.0731071981,2.5891636917,0.938373831,1,KH2013:KH.C10.183
KH2013:KH.C10.184,0.5895176289,1.5482252038,0.5696957115,1,KH2013:KH.C10.184
KH2013:KH.C10.185,-2.146135809,-1.5150220807,1,1,KH2013:KH.C10.185
KH2013:KH.C10.186,0.022836295,3.9158801201,1,1,KH2013:KH.C10.186
KH2013:KH.C10.187,0.0905865142,5.9809151796,0.6331247412,1,LLPH
KH2013:KH.C10.188,-0.0506866049,4.4440826056,0.8968701993,1,KH2013:KH.C10.188_DHRS11
KH2013:KH.C10.19,0.254698591,4.8077815699,0.279551135,1,KH2013:KH.C10.19
KH2013:KH.C10.190,-0.546559009,5.0838208982,0.2297053856,1,KH2013:KH.C10.190
KH2013:KH.C10.191,-0.357325875,1.1567356942,0.5974482811,1,KH2013:KH.C10.191
KH2013:KH.C10.192,-0.2117472638,5.1996984102,0.3969397455,1,KH2013:KH.C10.192
KH2013:KH.C10.193,0.2446046958,-0.8001513684,1,1,KH2013:KH.C10.193
KH2013:KH.C10.194,-0.2516921287,5.2369276105,0.2531662921,1,TMEM199
KH2013:KH.C10.195,0.1135290619,3.3897632127,0.8996132081,1,ABHD1/3
KH2013:KH.C10.196,1.1460994165,4.3504020849,0.0205954633,1,KH2013:KH.C10.196
KH2013:KH.C10.197,0.0530020765,7.5936107425,0.7556565606,1,KH2013:KH.C10.197
KH2013:KH.C10.198,-0.2977708745,2.5344446506,0.6544473906,1,KH2013:KH.C10.198_CDH-5
KH2013:KH.C10.199,-0.1020834671,5.4970950141,0.628115048,1,KH2013:KH.C10.199
KH2013:KH.C10.2,0.0907861339,7.6780670246,0.5869553511,1,KH2013:KH.C10.2
KH2013:KH.C10.20,-0.2558757366,0.8027552021,0.8921641268,1,KH2013:KH.C10.20_MIF
KH2013:KH.C10.200,-0.5594203493,3.6054320986,0.2711489697,1,KH2013:KH.C10.200
KH2013:KH.C10.201,0.0223203457,4.3029766166,1,1,HIRA
KH2013:KH.C10.202,-0.022844606,6.0722637526,0.8931937852,1,KH2013:KH.C10.202
KH2013:KH.C10.203,-0.0060476629,4.1244815963,1,1,KH2013:KH.C10.203
KH2013:KH.C10.204,-0.367971148,1.6681300709,0.5693353051,1,KH2013:KH.C10.204
KH2013:KH.C10.205,-0.2144585682,-0.6965782571,1,1,KH2013:KH.C10.205
KH2013:KH.C10.206,0.7230442376,1.5708775231,0.3345869271,1,KH2013:KH.C10.206
KH2013:KH.C10.207,0.167772585,5.0816012537,0.5583344839,1,KH2013:KH.C10.207
KH2013:KH.C10.208,-0.1792914832,6.208112707,0.3199701067,1,KH2013:KH.C10.208
KH2013:KH.C10.209,0.1553738236,6.8010300984,0.3698149509,1,KH2013:KH.C10.209
KH2013:KH.C10.21,-0.1620836935,4.8361853181,0.4983984688,1,C11ORF49
KH2013:KH.C10.210,-1.6032756285,-0.9663405961,0.4265806525,1,KH2013:KH.C10.210
KH2013:KH.C10.211,-0.1336108775,5.9889079032,0.524384828,1,KH2013:KH.C10.211
KH2013:KH.C10.212,-0.1439246197,4.9112025804,0.5414956255,1,KH2013:KH.C10.212
KH2013:KH.C10.213,-1.6879751776,-0.2852171375,0.45106977,1,KH2013:KH.C10.213
KH2013:KH.C10.214,0.1076596658,2.6881634644,0.8561750132,1,KH2013:KH.C10.214
KH2013:KH.C10.215,-0.1947428293,-1.0269500598,1,1,KH2013:KH.C10.215
KH2013:KH.C10.216,-0.0413530515,2.7047346653,1,1,KH2013:KH.C10.216
KH2013:KH.C10.217,-0.3466022723,4.8775236262,0.176629893,1,KH2013:KH.C10.217
KH2013:KH.C10.218,-0.1359490651,5.6471660798,0.5196814493,1,KH2013:KH.C10.218
KH2013:KH.C10.219,-0.559960071,1.9920856859,0.2973805958,1,KH2013:KH.C10.219
KH2013:KH.C10.22,-0.1624567404,6.5892512135,0.3444713625,1,SF1
KH2013:KH.C10.220,-0.2417129864,2.0905197759,0.8103407267,1,KH2013:KH.C10.220
KH2013:KH.C10.221,-0.4939640156,5.1178440585,0.1136094457,1,KH2013:KH.C10.221_ZNFX1
KH2013:KH.C10.222,-0.117127217,5.7277617273,0.5752554868,1,VPS29
KH2013:KH.C10.223,0.0027079171,5.3752192283,0.9704193602,1,MKS1
KH2013:KH.C10.224,-0.3143148504,3.6954254914,0.3744711456,1,NUDCD1
KH2013:KH.C10.225,-4.0389339889,-0.9780018069,0.1585994807,1,KH2013:KH.C10.225
KH2013:KH.C10.226,-0.0211159918,5.1934945986,0.9352794401,1,SNX1/2
KH2013:KH.C10.227,-2.0249034555,-1.5201279083,1,1,KH2013:KH.C10.227
KH2013:KH.C10.228,-0.3424537421,1.6903483094,0.5998641049,1,MATN1/2
KH2013:KH.C10.229,0.6012595604,8.7906976436,0.0347207082,1,PCTP
KH2013:KH.C10.23,0.1156371289,5.165174256,0.6834687564,1,RALY
KH2013:KH.C10.230,-2.8122478633,-1.4136353918,1,1,KH2013:KH.C10.230
KH2013:KH.C10.231,-0.3822925487,6.7610417967,0.0703385855,1,AGXT2L1/2
KH2013:KH.C10.232,-0.0344574451,7.3384081969,0.8407644829,1,ETFA
KH2013:KH.C10.233,-0.6210611063,-0.965218146,1,1,KH2013:KH.C10.233
KH2013:KH.C10.234,0.1970753848,6.3755452947,0.3386655207,1,NUB1
KH2013:KH.C10.235,-4.2659249174,-0.8957043418,0.159771809,1,KH2013:KH.C10.235
KH2013:KH.C10.236,-0.001707692,4.4709301764,1,1,HAUS6
KH2013:KH.C10.237,0.5200025178,-0.7775790543,1,1,KH2013:KH.C10.237
KH2013:KH.C10.238,0.1291690386,6.7294516569,0.5340683367,1,AFTPH
KH2013:KH.C10.239,-0.4404067848,5.1871276843,0.050470146,1,RPS27A
KH2013:KH.C10.24,0.0250203015,2.046263704,0.9359319682,1,KH2013:KH.C10.24_MIF
KH2013:KH.C10.240,-0.0355891758,5.4709316888,0.847939043,1,ALDH6A1
KH2013:KH.C10.241,-0.1373523933,3.5716902237,0.8344372377,1,KH2013:KH.C10.241_GXYLT1/2
KH2013:KH.C10.242,0.2342680161,6.2664100958,0.1893845934,1,NOL7
KH2013:KH.C10.243,0.1614882519,6.5487353825,0.3512546849,1,TMEM120B
KH2013:KH.C10.244,-0.8172024168,-0.2802989519,0.7933170512,1,OBST-F
KH2013:KH.C10.245,-0.1105448667,5.4482646273,0.6253050036,1,MLLT10/6
KH2013:KH.C10.246,-0.4808119208,8.8888911229,0.025597731,1,SLC8A1/2/3
KH2013:KH.C10.247,0.2520089544,3.2259294532,0.4878228034,1,KH2013:KH.C10.247
KH2013:KH.C10.248,-0.0401810336,6.8012236485,0.8097952174,1,FDPS
KH2013:KH.C10.249,-0.171214468,4.2095243747,0.5321759623,1,PKD1
KH2013:KH.C10.25,-0.1204648319,2.4748372778,0.8290088711,1,RSPH1
KH2013:KH.C10.250,-0.3370817869,10.4640575636,0.1014442338,1,RBFOX1/2/3
KH2013:KH.C10.251,0.0386453958,4.8257782228,0.8666997705,1,CLEC4G
KH2013:KH.C10.252,-0.0468525012,3.9088344951,0.9168007439,1,DLAT
KH2013:KH.C10.253,-0.4548237749,5.3942973438,0.0321767366,1,IQSEC1/2/3
KH2013:KH.C10.254,-5.1580445331,-0.2387975275,0.016814056,1,KH2013:KH.C10.254
KH2013:KH.C10.255,0.4520658702,2.9625383603,0.2924961159,1,KH2013:KH.C10.255_LPHN1/2/3
KH2013:KH.C10.256,-0.1807237298,6.1520231357,0.3557806198,1,KH2013:KH.C10.256
KH2013:KH.C10.257,-0.1957015575,3.9570225284,0.5301813031,1,FHAD1
KH2013:KH.C10.258,0.1895141794,8.3410461516,0.2610017239,1,ARHGAP11A
KH2013:KH.C10.259,0.2181866403,4.9682826318,0.3852959377,1,KH2013:KH.C10.259
KH2013:KH.C10.26,-0.0326322614,3.4966823983,1,1,EFCAB2
KH2013:KH.C10.260,-0.1986053344,5.4673724633,0.3273425993,1,NCAM1/2
KH2013:KH.C10.261,0,-1.6351972215,1,1,KH2013:KH.C10.261_CD81/9
KH2013:KH.C10.262,-0.3104274716,0.4189657385,0.8587403434,1,KH2013:KH.C10.262_CYP-33C1/11/12/3/4/5/6/7/8
KH2013:KH.C10.263,0.0349209926,3.9382641063,0.916506729,1,KH2013:KH.C10.263
KH2013:KH.C10.264,-0.2930154441,4.0380906755,0.3938520469,1,MSI1/2
KH2013:KH.C10.265,1.4568154674,0.2463551767,0.1089633114,1,KH2013:KH.C10.265
KH2013:KH.C10.266,-2.8077533577,-0.2251639561,0.020051861,1,KH2013:KH.C10.266
KH2013:KH.C10.267,0.2091599343,7.5858596259,0.2076885607,1,HEXB
KH2013:KH.C10.268,0.1161795114,3.9294349822,0.753088431,1,KH2013:KH.C10.268
