GeneID,log2FoldChange,logCPM,PValue,padj,GeneName
KH2013:KH.C10.161,-0.1770792639,4.5249892276,0.5803528081,1,KH2013:KH.C10.161
KH2013:KH.C10.162,0.0921700187,3.69959743,0.7356769258,1,KH2013:KH.C10.162
KH2013:KH.C10.163,-0.7574741674,1.9378425495,0.1862428883,1,KH2013:KH.C10.163
KH2013:KH.C10.164,0.0055706184,5.7494323946,1,1,KH2013:KH.C10.164
KH2013:KH.C10.165,-1.7396669989,0.9826761211,0.051141717,1,KH2013:KH.C10.165
KH2013:KH.C10.166,0.4664275152,3.1371062248,0.3141097869,1,KH2013:KH.C10.166
KH2013:KH.C10.168,-0.0739813492,6.5201126003,0.6971686386,1,KH2013:KH.C10.168
KH2013:KH.C10.169,-0.1379384921,6.533327272,0.4898963132,1,PCIF1
KH2013:KH.C10.17,0.0584857548,5.1531308505,0.8361796497,1,KH2013:KH.C10.17
KH2013:KH.C10.170,0.0254139884,8.4612189638,0.8890964401,1,KH2013:KH.C10.170
KH2013:KH.C10.171,-0.4271676422,2.5184074356,0.4516419581,1,RPP25
KH2013:KH.C10.172,-0.3679790078,5.7608491848,0.4424600139,1,KH2013:KH.C10.172
KH2013:KH.C10.173,-0.9157724748,-0.9522073429,1,1,KH2013:KH.C10.173
KH2013:KH.C10.174,0.0974209423,7.7842717609,0.571965943,1,KH2013:KH.C10.174
KH2013:KH.C10.175,0.0759686212,0.8530644433,1,1,KH2013:KH.C10.175
KH2013:KH.C10.176,-0.3630116835,3.0876908628,0.4084208036,1,KH2013:KH.C10.176
KH2013:KH.C10.177,-0.113021883,4.9518099749,0.6224771349,1,KH2013:KH.C10.177
KH2013:KH.C10.178,-0.0784613205,5.4114125443,0.7268579877,1,KH2013:KH.C10.178
KH2013:KH.C10.179,-0.0929740682,6.7435461875,0.6175423917,1,KH2013:KH.C10.179
KH2013:KH.C10.18,0.0110298749,3.5401881398,1,1,KH2013:KH.C10.18
KH2013:KH.C10.180,0.1254904095,4.8926924255,0.6057115977,1,KH2013:KH.C10.180
KH2013:KH.C10.181,-0.1007139025,5.2205735911,0.7329132192,1,PPIF
KH2013:KH.C10.182,-2.7067511932,-0.1344849559,0.0593016214,1,KH2013:KH.C10.182
KH2013:KH.C10.183,-0.5190061522,2.6679335143,0.2487398662,1,KH2013:KH.C10.183
KH2013:KH.C10.184,0.2411280193,1.6571824319,0.8312811717,1,KH2013:KH.C10.184
KH2013:KH.C10.185,0,-1.4004807895,1,1,KH2013:KH.C10.185
KH2013:KH.C10.186,-0.2008238139,3.9665101592,0.5509030508,1,KH2013:KH.C10.186
KH2013:KH.C10.187,0.1978569494,6.0144778551,0.2765682765,1,LLPH
KH2013:KH.C10.188,0.2271237497,4.4994621754,0.3685726899,1,KH2013:KH.C10.188_DHRS11
KH2013:KH.C10.19,0.1525548937,4.8507023332,0.5067467913,1,KH2013:KH.C10.19
KH2013:KH.C10.190,-0.8047933386,5.1398605019,0.0592946859,1,KH2013:KH.C10.190
KH2013:KH.C10.191,-0.3256458522,1.2389759744,0.7089212823,1,KH2013:KH.C10.191
KH2013:KH.C10.192,-0.2720520614,5.2553881948,0.2459869321,1,KH2013:KH.C10.192
KH2013:KH.C10.193,1.6042161476,-0.6875058704,0.4105202767,1,KH2013:KH.C10.193
KH2013:KH.C10.194,-0.072940028,5.2875461241,0.773153534,1,TMEM199
KH2013:KH.C10.195,-0.1539806156,3.4629923613,0.6610450507,1,ABHD1/3
KH2013:KH.C10.196,0.4478514513,4.4162281173,0.3798542211,1,KH2013:KH.C10.196
KH2013:KH.C10.197,-0.0325696586,7.6372968128,0.8467301605,1,KH2013:KH.C10.197
KH2013:KH.C10.198,-0.5271081126,2.6158169171,0.4309122597,1,KH2013:KH.C10.198_CDH-5
KH2013:KH.C10.199,-0.1154289396,5.5387023249,0.5862161573,1,KH2013:KH.C10.199
KH2013:KH.C10.2,-0.099238934,7.7321429811,0.5530956361,1,KH2013:KH.C10.2
KH2013:KH.C10.20,0.9698814737,0.9130049298,0.2382212084,1,KH2013:KH.C10.20_MIF
KH2013:KH.C10.200,-0.4126447803,3.6794853577,0.3911931162,1,KH2013:KH.C10.200
KH2013:KH.C10.201,-0.1360182736,4.3594234517,0.7132044284,1,HIRA
