"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C11.438",24.4741297417145,-1.36808856662757,0.927719057220626,-1.47467981387194,0.140298645604444,0.508813953517965,2,8,3,33,13,53,4,3,8,2,19,25,1,72,6,38
"KH2013:KH.C11.472",46.780981458246,-0.166045912722742,0.72339500733312,-0.229536990219064,0.818451573931322,0.947457310951704,68,57,35,38,64,39,53,20,37,36,10,28,267,98,87,64
"KH2013:KH.C11.215",163.876788553797,0.781081108336445,0.587626249460486,1.32921412046105,0.183777337784152,0.57425848430649,41,40,289,204,435,56,109,111,25,32,2,32,283,172,535,384
"KH2013:KH.C11.220",1364.23764681743,0.29678635224486,0.312976502530182,0.948270396804756,0.342991817308915,0.73722676479805,1196,1435,925,971,2064,2383,1107,901,741,1380,3370,764,1587,945,1467,1009
"KH2013:KH.C11.510",1.72941150048774,3.39774394049782,2.51779191014436,1.34949354901335,0.177178491004397,NA,3,3,0,0,29,21,3,0,0,0,2,1,2,3,0,0
"KH2013:KH.C11.227",361.703719315113,-0.00145015714007721,0.294295483765624,-0.00492755485582683,0.996068395968446,0.999340153473452,362,442,273,379,359,366,479,425,279,220,421,208,879,384,728,501
"KH2013:KH.C11.669",4.58911558144177,1.20300654305127,1.23740527372709,0.972200917996565,0.330950603977911,NA,3,2,9,3,2,2,5,2,2,7,11,4,17,6,5,1
"KH2013:KH.C11.43",224.274263996157,-0.506275683121666,0.383667254178113,-1.31956969902527,0.186978725134839,0.577273235962621,178,112,182,139,270,420,155,127,134,129,148,155,559,436,454,255
"KH2013:KH.C11.225",2.39930554266913,1.65721972941188,1.9359336723216,0.856031254120663,0.391980492035233,NA,2,0,0,2,1,0,0,2,1,3,5,0,6,6,1,6
"KH2013:KH.C11.123",42.8024899615131,0.502604064444115,0.605044405146903,0.83068954967377,0.406149031454616,0.78060799622008,27,47,33,41,49,42,33,50,17,40,41,27,64,130,94,50
"KH2013:KH.C11.369",270.442469037407,0.290362054057508,0.397226470052791,0.730973577916193,0.464795291925499,0.809581661652589,267,297,277,279,364,360,323,231,193,312,111,239,405,325,502,283
"KH2013:KH.C11.585",137.710654437226,0.896455701624775,0.376876266406401,2.3786472684329,0.0173762944424354,0.177574101941469,108,180,82,145,108,110,138,79,52,81,132,96,601,195,314,173
"KH2013:KH.C11.660",268.588703302838,0.361226881370173,0.254820207833747,1.41757549152401,0.156314739728264,0.534551897879827,285,252,190,223,459,518,312,272,191,236,387,165,1198,421,326,257
"KH2013:KH.C11.114",164.319739097511,-0.396775661036486,0.297852000747838,-1.33212353799966,0.182819596834249,0.572241470762711,192,205,134,177,261,148,198,143,123,157,243,135,420,240,254,182
