"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,-0.0768088519958281,0.633204690089695,-0.121301773657027,0.90345201521869,0.974693050037955,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,0.182544312884932,7.28870614558853,0.0250448171786177,0.980019215867606,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,-1.17715517349668,1.4144483490876,-0.832236238428935,0.405275612814968,NA,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,-0.528887896137129,0.321478239909123,-1.64517479094895,0.0999337705870193,0.45117264196854,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,0.0751500049735933,0.384679400162252,0.195357497547039,0.845113087539367,0.95945039146671,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,-0.886224425711335,0.993223914932027,-0.892270526703926,0.372247947901148,0.756654393151138,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,-0.42537588706115,0.280434332657496,-1.51684668218095,0.129305397728511,0.500127703657217,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,0.182548543293862,2.6035485406186,0.0701152832166859,0.944101902392455,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,-0.825788102373097,0.304280933707749,-2.71390025102998,0.00664961853298974,0.119980933506415,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,-0.239319361187445,0.29682854844498,-0.806254527878758,0.420096103799264,0.78807286687963,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
"KH2013:KH.C1.403",2.31761881347799,1.20250558664775,3.47813380906796,0.34573298575019,0.72954339218019,NA,0,14,3,4,7,0,1,4,0,0,2,0,11,2,0,0
"KH2013:KH.C1.881",110.212747920876,-0.391712116404449,0.543495310102383,-0.720727684532656,0.471077075747034,0.814822028891692,70,92,96,123,232,120,95,70,30,99,53,102,399,185,263,102
"KH2013:KH.C1.1034",26.4632730263252,-2.34514743537811,0.864614368950233,-2.71236231966103,0.00668055272513299,0.119980933506415,24,18,16,12,53,72,22,18,21,14,16,17,57,30,27,60
"KH2013:KH.C1.165",592.332298971341,0.315246977323554,0.271799448592288,1.15985142337959,0.246109303213387,0.653590110943472,598,661,569,738,918,1191,662,611,282,254,659,254,1069,837,1255,913
