"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,-0.967189995535727,0.658107177307071,-1.46965422789249,0.141655425362458,0.341406617885245,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,-1.28496591511723,5.82307459657478,-0.220667946770434,0.825350990995555,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,-1.46094487536884,0.916811600881284,-1.59350609652464,0.111046701759974,0.296545416854414,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,-0.138828356983144,0.334284931065898,-0.415299476827978,0.677922684165971,0.821808561333885,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,0.0762285155126487,0.401452979419586,0.18988155380702,0.849401947425946,0.927380981760482,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,-0.981683860392318,0.926842554213161,-1.05917003479163,0.289522349187094,0.519067312533113,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,0.952771445301264,0.306415446837947,3.10941062251719,0.00187460991187523,0.0223216225695492,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,-1.3318074133908,1.79459701191625,-0.742120601197652,0.45801426900941,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,-0.746512828050546,0.498000075374184,-1.49902151619081,0.133868050335148,0.329875286118919,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,0.214669474403728,0.368670890253929,0.582279426118701,0.560378481248086,0.744366228333635,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
"KH2013:KH.C1.403",2.31761881347799,1.95359413104064,3.30131787112166,0.591761898522325,0.554010040575921,NA,0,14,3,4,7,0,1,4,0,0,2,0,11,2,0,0
"KH2013:KH.C1.881",110.212747920876,-1.13020118516346,0.621306863948364,-1.81907081789038,0.0689006265220108,0.223840766630773,70,92,96,123,232,120,95,70,30,99,53,102,399,185,263,102
"KH2013:KH.C1.1034",26.4632730263252,-2.07682752486697,0.578193408050803,-3.59192528996196,0.000328243961449743,0.00660969224973854,24,18,16,12,53,72,22,18,21,14,16,17,57,30,27,60
"KH2013:KH.C1.165",592.332298971341,-0.317296764233859,0.267823690053748,-1.18472254702406,0.236127164748982,0.459897660596316,598,661,569,738,918,1191,662,611,282,254,659,254,1069,837,1255,913
"KH2013:KH.C1.709",33.719088787804,0.156151712900089,1.05079383682168,0.148603567539374,0.881866457781503,0.945665188372796,41,12,17,18,93,238,55,30,8,17,19,22,33,46,16,24
"KH2013:KH.C1.841",29.9990813977889,-1.15991548492244,0.676833652744264,-1.71373790327873,0.086576872387345,0.256380468621829,27,18,29,20,91,63,59,36,14,4,19,24,38,66,50,14
"KH2013:KH.C1.1238",574.212159458034,0.425153117217126,0.363688892199375,1.16900220583052,0.242402742648506,0.466892123883219,713,711,558,622,889,702,805,601,446,600,449,637,1951,848,874,731
"KH2013:KH.C1.443",10.8078677456409,-2.86420426314985,1.49836172899317,-1.9115572746739,0.0559330038866101,0.198055466322694,2,7,0,7,2,4,7,10,6,2,16,12,32,4,9,11
"KH2013:KH.C1.914",116.384336691763,-1.40024956358515,0.422466411234091,-3.31446365048243,0.000918191171414094,0.0138269382463811,128,199,90,114,171,192,92,89,55,149,173,86,432,215,233,158
"KH2013:KH.C1.150",577.214478900475,0.172555136110541,0.275163365587566,0.627100688865606,0.530593235616108,0.723063330888617,922,750,451,705,1044,619,731,576,298,445,758,431,1470,831,1244,844
"KH2013:KH.C1.771",23.0699468403475,0.0580972545362205,1.09952362967287,0.0528385684203129,0.957860531251905,0.981715157378185,11,8,18,6,23,14,12,25,8,5,26,36,84,36,34,34
"KH2013:KH.C1.110",271.857253180905,-0.821282793357558,0.307538951704917,-2.67050007423312,0.00757383548274928,0.0570950674853407,247,251,273,405,387,221,146,209,163,171,796,187,566,388,633,546
"KH2013:KH.C1.831",347.805720676782,-0.488987719814518,0.437627536635958,-1.11736049237981,0.263840220276313,0.491592323978106,302,307,197,230,398,612,370,218,101,244,723,269,1290,705,952,370
"KH2013:KH.C1.997",1309.07771136847,-0.0233649294917993,0.204959248808514,-0.113997927039771,0.909239436714994,0.959162054281084,1216,1228,1093,1327,1903,1841,1645,1288,1041,1190,1486,1336,3148,1498,1983,1737
"KH2013:KH.C1.781",5.06721276758372,-2.48434670350248,1.976456617018,-1.25697001498103,0.208764493569049,0.428862906258118,4,16,4,5,0,2,11,0,0,1,5,7,18,13,3,19
"KH2013:KH.C1.15",41.7113326960679,-2.55982304254817,0.998562611489756,-2.56350779920467,0.010362037281866,0.0695328432776252,8,22,97,4,11,6,14,16,83,5,403,72,77,50,43,30
"KH2013:KH.C1.344",92.0899061917587,-1.03749461358361,0.766227044603951,-1.35403027195402,0.17572672005203,0.387307043721031,49,118,173,100,86,72,43,27,52,115,51,103,255,204,283,354
"KH2013:KH.C1.269",397.259593059735,-0.0337690712357675,0.297803753327156,-0.11339370595061,0.909718429452547,0.959312636387851,511,420,378,458,675,678,404,253,230,293,186,247,706,465,715,454
"KH2013:KH.C1.1208",76.9700718061155,-0.755010682850742,0.918557958985384,-0.821952142992379,0.411104134655057,0.631326866287626,81,70,40,73,88,80,54,43,31,42,316,50,360,92,50,89
"KH2013:KH.C1.208",88.9941541196302,-2.29287907685853,0.840971162011642,-2.72646575820015,0.00640165944351084,0.0511456920466303,52,65,27,15,28,100,37,24,18,15,486,244,96,29,86,77
"KH2013:KH.C1.1011",643.409662434636,0.675882897916824,0.284542593586181,2.3753311917153,0.017533210269709,0.097605142398243,733,897,733,871,901,605,538,343,250,279,777,480,2370,1135,1489,938
