"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.L147.34",1571.62139809472,-0.16654783251792,0.265448521477078,-0.627420456483127,0.530383661957809,0.915650878911603,1452,1752,1081,1775,1440,1260,2065,1625,642,1040,2264,1481,8522,3854,3229,1826
"KH2013:KH.L147.8",118.16500575731,-0.0877757236433097,0.249957346539377,-0.351162807809219,0.725466210589569,0.964473030380441,110,121,48,89,133,153,114,137,74,79,150,123,392,258,186,124
"KH2013:KH.L147.41",26.9330253799029,-0.510076085462256,0.795102789187946,-0.641522193606195,0.521183466254701,NA,23,22,8,14,50,29,13,4,15,36,28,41,129,58,21,10
"KH2013:KH.L147.13",8.23063419600744,-1.48920406695834,1.08351512729502,-1.37441926692441,0.169311558093315,NA,13,6,5,4,27,9,2,8,1,5,101,43,25,41,1,8
"KH2013:KH.L147.36",10.9556057273297,-2.26643048057855,1.30251147624823,-1.7400464578683,0.0818508606507553,NA,0,7,5,1,17,0,7,7,1,0,25,28,3,10,4,6
"KH2013:KH.L147.29",20.0986437173062,-1.8454145457394,1.00609493223211,-1.83423500766988,0.0666191169516151,NA,3,12,4,5,4,6,19,3,8,0,80,70,58,16,21,4
"KH2013:KH.L147.1",116.618887881785,-1.24405569361075,0.57489205413333,-2.16398136774773,0.0304657794043593,0.425850843199058,84,70,136,35,2837,56,107,95,123,247,152,73,101,56,140,82
"KH2013:KH.L147.16",165.585647948134,-0.626551908183314,1.06400905631403,-0.588859563238902,0.555955485536214,0.923940586704812,56,170,158,16,4294,40,78,80,100,84,174,110,44,105,10,6
"KH2013:KH.L147.25",194.726018104243,-0.608171991947937,0.938549870283493,-0.647991131003232,0.516990686619466,0.91245495634748,72,248,205,22,3315,58,207,111,142,117,120,130,96,168,26,30
"KH2013:KH.L147.7",18.1151004493402,0.124778607456715,0.756241347806791,0.164998393460753,0.868945246558434,NA,22,23,21,21,9,27,6,16,3,11,13,11,41,23,24,36
