"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,0.0638165871853335,0.614851733031247,0.103791831033337,0.917334549346657,0.989352886728378,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,-0.446795165480013,7.20862023947661,-0.0619806773886112,0.950578219622069,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,-0.230354268062267,0.786473069468848,-0.292895303100256,0.769602179085351,0.969459164593251,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,-0.270556961197473,0.320534320646064,-0.844081097625188,0.398624089607339,0.842446389446055,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,-0.566244087895485,0.386851004042229,-1.46372655616443,0.14326867651081,0.607076729554904,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,-1.16141338019533,0.924675967297221,-1.25602202422334,0.209107985045776,0.697212028444561,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,-0.318949697595414,0.279989381719884,-1.13914926214776,0.254640903652918,0.748910440691377,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,-0.893424372335293,2.00459625390963,-0.445687938702278,0.655822678218344,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,0.186571312170346,0.286278742351043,0.651712071382399,0.514586933805107,0.895980446556392,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,0.21215887072038,0.291269629433915,0.728393382903368,0.466372812738976,0.87614626671675,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
"KH2013:KH.C1.403",2.31761881347799,0.630305136121376,3.65571626106935,0.172416317653986,0.863110244644861,NA,0,14,3,4,7,0,1,4,0,0,2,0,11,2,0,0
"KH2013:KH.C1.881",110.212747920876,0.129973716129446,0.510439454370543,0.254631014543586,0.799008102428999,0.974249316231551,70,92,96,123,232,120,95,70,30,99,53,102,399,185,263,102
"KH2013:KH.C1.1034",26.4632730263252,-0.0451854591653129,0.626336522733463,-0.0721424625984035,0.942488533974599,0.993155769173615,24,18,16,12,53,72,22,18,21,14,16,17,57,30,27,60
"KH2013:KH.C1.165",592.332298971341,0.327733654182531,0.261956338467028,1.25110030205962,0.21089788536685,0.697212028444561,598,661,569,738,918,1191,662,611,282,254,659,254,1069,837,1255,913
"KH2013:KH.C1.709",33.719088787804,0.00706429459705977,1.0128142180749,0.00697491649602544,0.994434866938422,0.999149712195752,41,12,17,18,93,238,55,30,8,17,19,22,33,46,16,24
"KH2013:KH.C1.841",29.9990813977889,0.674870554196497,0.703442742738708,0.959382353663965,0.337366161501728,0.807570249094762,27,18,29,20,91,63,59,36,14,4,19,24,38,66,50,14
"KH2013:KH.C1.1238",574.212159458034,-0.00910171566274769,0.338414848146156,-0.02689514278882,0.978543367610603,0.997957236712118,713,711,558,622,889,702,805,601,446,600,449,637,1951,848,874,731
"KH2013:KH.C1.443",10.8078677456409,2.44707103155372,1.40390359458083,1.74304777122845,0.0813252706235567,NA,2,7,0,7,2,4,7,10,6,2,16,12,32,4,9,11
"KH2013:KH.C1.914",116.384336691763,-0.318117217099036,0.350097304761064,-0.908653716475042,0.36353294239574,0.821484835752612,128,199,90,114,171,192,92,89,55,149,173,86,432,215,233,158
"KH2013:KH.C1.150",577.214478900475,-0.190582298533114,0.286627206496689,-0.664913498137572,0.506105821724812,0.891927588721346,922,750,451,705,1044,619,731,576,298,445,758,431,1470,831,1244,844
"KH2013:KH.C1.771",23.0699468403475,-0.524306353037954,1.10897928370359,-0.472782819970235,0.636368132224691,0.936394633469122,11,8,18,6,23,14,12,25,8,5,26,36,84,36,34,34
"KH2013:KH.C1.110",271.857253180905,-0.874765174455661,0.2888343615483,-3.02860494079192,0.00245685731525167,0.0620274603311258,247,251,273,405,387,221,146,209,163,171,796,187,566,388,633,546
"KH2013:KH.C1.831",347.805720676782,0.0698105693514648,0.329236487109037,0.212037766422726,0.832077570797252,0.978775303950369,302,307,197,230,398,612,370,218,101,244,723,269,1290,705,952,370
"KH2013:KH.C1.997",1309.07771136847,0.100571212230887,0.186051456586014,0.540555898224809,0.588813722556198,0.924232606579528,1216,1228,1093,1327,1903,1841,1645,1288,1041,1190,1486,1336,3148,1498,1983,1737
"KH2013:KH.C1.781",5.06721276758372,-0.800799735949263,1.65174967407775,-0.484819067027446,0.627804696252665,NA,4,16,4,5,0,2,11,0,0,1,5,7,18,13,3,19
"KH2013:KH.C1.15",41.7113326960679,-0.0107068608010689,0.943721114011813,-0.011345365322551,0.990947902366501,0.998639053998902,8,22,97,4,11,6,14,16,83,5,403,72,77,50,43,30
"KH2013:KH.C1.344",92.0899061917587,-0.899294235768291,0.769195644729345,-1.16913589140864,0.242348885344083,0.73347140343877,49,118,173,100,86,72,43,27,52,115,51,103,255,204,283,354
"KH2013:KH.C1.269",397.259593059735,-0.617948803895392,0.289423297796066,-2.13510387242845,0.0327525264039003,0.313117497788023,511,420,378,458,675,678,404,253,230,293,186,247,706,465,715,454
"KH2013:KH.C1.1208",76.9700718061155,0.166621611396926,0.886031364860016,0.188053852273334,0.850834436155149,0.979956581094534,81,70,40,73,88,80,54,43,31,42,316,50,360,92,50,89
"KH2013:KH.C1.208",88.9941541196302,-0.143041924079195,0.596740303931985,-0.239705485177852,0.810558582347381,0.976716723201818,52,65,27,15,28,100,37,24,18,15,486,244,96,29,86,77
"KH2013:KH.C1.1011",643.409662434636,-0.300984400805101,0.286314978468243,-1.0512352599062,0.293150552661882,0.781098858113673,733,897,733,871,901,605,538,343,250,279,777,480,2370,1135,1489,938
"KH2013:KH.C1.230",201.741455045667,0.109559944797606,0.426371231272593,0.256959045924843,0.797210388358,0.9740800595318,321,294,217,210,159,148,238,142,66,50,168,75,839,380,611,426
