"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,-0.103121990473634,0.585030754157749,-0.176267640189438,0.860083683345604,0.971218893521428,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,-0.383188793601141,5.02149450920619,-0.07630971076412,0.939172700300358,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,0.245517288383299,0.808095603692963,0.303822081522651,0.761263442859716,NA,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,-0.326204630474708,0.289598486319299,-1.12640309215929,0.259994938554843,0.712635145360417,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,-0.597447079722326,0.352652171315381,-1.69415398037638,0.0902360270245338,0.469221033685951,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,-0.815947507039012,0.788256467180476,-1.03512948007593,0.300608446712953,0.745600143875494,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,-0.352818194903146,0.265886481935675,-1.32695048027489,0.184525064090544,0.635842616678666,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,-0.065581581690106,1.8428723680108,-0.0355866107867767,0.97161198460463,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,0.575681028443348,0.432203660654159,1.3319670351057,0.182871021134435,0.632973835628874,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,0.22673175640234,0.317214234456697,0.714759086365311,0.474757920325972,0.852332900683063,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
"KH2013:KH.C1.403",2.31761881347799,-4.22430792909124,2.92998743159101,-1.44174950497907,0.149373052455992,NA,0,14,3,4,7,0,1,4,0,0,2,0,11,2,0,0
"KH2013:KH.C1.881",110.212747920876,0.482435950279403,0.532141021393701,0.906594175010003,0.364621443233139,0.793124858584489,70,92,96,123,232,120,95,70,30,99,53,102,399,185,263,102
"KH2013:KH.C1.1034",26.4632730263252,0.044156903596514,0.495100217969404,0.0891878088392253,0.928932653902545,0.984003064627023,24,18,16,12,53,72,22,18,21,14,16,17,57,30,27,60
"KH2013:KH.C1.165",592.332298971341,0.404562314188344,0.226626613178804,1.7851491866454,0.0742371215141932,0.423825144423732,598,661,569,738,918,1191,662,611,282,254,659,254,1069,837,1255,913
"KH2013:KH.C1.709",33.719088787804,0.173148796159225,0.879887755231633,0.196785095746267,0.84399571493521,0.968181049003669,41,12,17,18,93,238,55,30,8,17,19,22,33,46,16,24
"KH2013:KH.C1.841",29.9990813977889,0.565688750345211,0.595256772385469,0.950327281583432,0.341945980769112,0.777504038755849,27,18,29,20,91,63,59,36,14,4,19,24,38,66,50,14
"KH2013:KH.C1.1238",574.212159458034,-0.267281659329103,0.315327244515373,-0.847632622864189,0.396642600295191,0.810494792126219,713,711,558,622,889,702,805,601,446,600,449,637,1951,848,874,731
"KH2013:KH.C1.443",10.8078677456409,2.71869599250962,1.19939464053947,2.26672347917679,0.0234071231849152,NA,2,7,0,7,2,4,7,10,6,2,16,12,32,4,9,11
"KH2013:KH.C1.914",116.384336691763,-0.218471878304962,0.362043830533645,-0.603440412126175,0.546215744974713,0.887478673229349,128,199,90,114,171,192,92,89,55,149,173,86,432,215,233,158
"KH2013:KH.C1.150",577.214478900475,-0.110680597096498,0.235948204628451,-0.469088532675159,0.639006355401264,0.918145393749794,922,750,451,705,1044,619,731,576,298,445,758,431,1470,831,1244,844
"KH2013:KH.C1.771",23.0699468403475,-0.577335815336178,0.991583911290612,-0.582235964866288,0.560407751345456,0.893974099620912,11,8,18,6,23,14,12,25,8,5,26,36,84,36,34,34
"KH2013:KH.C1.110",271.857253180905,-0.702353556612751,0.261888288288354,-2.68188226821132,0.00732092191546579,0.113282598665161,247,251,273,405,387,221,146,209,163,171,796,187,566,388,633,546
"KH2013:KH.C1.831",347.805720676782,0.418282527912776,0.37627238018962,1.11164823658326,0.266289424080004,0.718054128547616,302,307,197,230,398,612,370,218,101,244,723,269,1290,705,952,370
"KH2013:KH.C1.997",1309.07771136847,0.00330450018924616,0.177822678177515,0.0185831201234489,0.98517366870218,0.996796359017201,1216,1228,1093,1327,1903,1841,1645,1288,1041,1190,1486,1336,3148,1498,1983,1737
"KH2013:KH.C1.781",5.06721276758372,-0.947504723194786,1.57299393540737,-0.602357518275748,0.546936181463645,NA,4,16,4,5,0,2,11,0,0,1,5,7,18,13,3,19
"KH2013:KH.C1.15",41.7113326960679,-0.267469814504332,0.876678616429854,-0.305094489008485,0.760294188373084,0.95248999999174,8,22,97,4,11,6,14,16,83,5,403,72,77,50,43,30
"KH2013:KH.C1.344",92.0899061917587,-1.16990177783997,0.665890313062774,-1.75689862863297,0.0789350894447918,0.439207354598225,49,118,173,100,86,72,43,27,52,115,51,103,255,204,283,354
"KH2013:KH.C1.269",397.259593059735,-0.683988005454979,0.253753311525371,-2.69548405631976,0.00702864414111313,0.110267807406244,511,420,378,458,675,678,404,253,230,293,186,247,706,465,715,454
"KH2013:KH.C1.1208",76.9700718061155,0.426139863518599,0.790387697211077,0.539152956229272,0.589781317858796,0.899985108712854,81,70,40,73,88,80,54,43,31,42,316,50,360,92,50,89
"KH2013:KH.C1.208",88.9941541196302,0.0678055700448701,0.732069760489121,0.0926217332069103,0.926204077363152,0.983233908446791,52,65,27,15,28,100,37,24,18,15,486,244,96,29,86,77
"KH2013:KH.C1.1011",643.409662434636,-0.212739463032614,0.239330924353063,-0.888892497313795,0.374060858017123,0.797781646489877,733,897,733,871,901,605,538,343,250,279,777,480,2370,1135,1489,938
"KH2013:KH.C1.230",201.741455045667,0.0299355048221246,0.379139388012272,0.07895646236881,0.937067252897048,0.986121682947798,321,294,217,210,159,148,238,142,66,50,168,75,839,380,611,426
"KH2013:KH.C1.516",76.0739827179298,-0.108647735417772,0.409296677446809,-0.265449834813016,0.790662949990147,0.960238364464723,72,74,67,71,87,32,62,50,58,31,252,62,287,129,163,79
"KH2013:KH.C1.897",133.798978130198,0.44658251580169,0.41167748474402,1.08478732102479,0.278015862352771,0.728250600524974,134,195,119,85,178,108,104,68,68,95,84,120,271,183,363,200
"KH2013:KH.C1.821",173.121423963017,0.220624596618355,0.267862248745876,0.823649460315192,0.410138763863786,0.818580694365611,225,202,128,233,258,224,237,168,101,143,277,134,440,391,442,226
"KH2013:KH.C1.329",12310.1808544586,-0.490888006358607,0.182962835867579,-2.68299299161438,0.00729665194159457,0.113093221124206,13825,15657,14103,16126,18811,13499,18583,13907,6674,9182,15643,12714,36521,19969,27017,18602
"KH2013:KH.C1.301",306.329391770314,-0.0821693500891473,0.373138509046188,-0.220211390936806,0.825706525682194,0.965478229985511,298,348,318,341,413,450,240,246,163,252,312,106,569,572,561,311
"KH2013:KH.C1.1197",165.121473746535,0.347829227132274,0.376902154043473,0.922863463104947,0.356078363177691,0.789087695058863,128,135,99,184,181,204,143,104,129,172,148,78,525,230,179,190
"KH2013:KH.C1.593",68.4710681969186,-0.218495410604381,0.541001993475191,-0.403871729197982,0.686307046436288,0.935710993112765,67,76,112,60,22,130,53,35,48,32,249,62,30,81,57,75
"KH2013:KH.C1.1300",670.926131160087,0.317029718196928,0.344756457317612,0.919575867160218,0.35779444267186,0.791692106317584,445,635,431,607,835,883,765,530,347,394,602,351,804,519,924,745
"KH2013:KH.C1.582",31.9657894552891,-1.2988964266008,0.865434179846024,-1.50086102080218,0.133391511843157,0.554743866422442,15,20,38,6,32,15,60,12,8,7,38,110,83,26,52,8
"KH2013:KH.C1.78",195.177612937017,0.0280655180011151,0.299036797724695,0.0938530582679438,0.92522588324745,0.98313741522017,187,240,119,240,247,241,216,179,86,122,119,107,361,266,351,227
