"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,-0.808655353719642,0.59245974553713,-1.36491189453978,0.172280743327093,0.421330033321663,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,1.0672998642674,5.03155283661185,0.21212136668848,0.832012350777399,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,0.0623882508968902,0.806370712677344,0.0773691925017294,0.938329848121816,0.97757671128997,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,-0.0480124593511429,0.288890298149952,-0.166196163937016,0.868002578201812,0.94466772078999,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,-0.424212842382603,0.348077754090741,-1.21873011819082,0.222946642677673,0.482749827778614,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,1.29445646570313,0.775999074408167,1.66811599187845,0.0952927031757632,0.296229393578331,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,-0.75589847437613,0.265490258641316,-2.84717969783354,0.00441084563407509,0.0436343785238714,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,-2.05461008387143,1.75515477386065,-1.17061475971837,0.241753661846662,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,0.174918387352332,0.428129606836925,0.408564099653492,0.682859581131706,0.851199964694006,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,0.267793392663535,0.316326681829144,0.84657225598243,0.397233583503564,0.656045142653674,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
"KH2013:KH.C1.403",2.31761881347799,1.09864577512667,2.63311610937958,0.417241674688448,0.676501645341222,NA,0,14,3,4,7,0,1,4,0,0,2,0,11,2,0,0
"KH2013:KH.C1.881",110.212747920876,1.05303393930594,0.527573295551007,1.99599552931528,0.0459344094260842,0.188299285345206,70,92,96,123,232,120,95,70,30,99,53,102,399,185,263,102
"KH2013:KH.C1.1034",26.4632730263252,0.00255634816738577,0.482275504278941,0.00530059715806593,0.99577075516893,0.998262380549835,24,18,16,12,53,72,22,18,21,14,16,17,57,30,27,60
"KH2013:KH.C1.165",592.332298971341,0.5919580213459,0.225800666916176,2.62159554013032,0.00875192277349132,0.0666398502070983,598,661,569,738,918,1191,662,611,282,254,659,254,1069,837,1255,913
"KH2013:KH.C1.709",33.719088787804,-1.73033595749988,0.876177902595205,-1.9748682914448,0.0482830966113322,0.19441689093691,41,12,17,18,93,238,55,30,8,17,19,22,33,46,16,24
"KH2013:KH.C1.841",29.9990813977889,-0.527473782120982,0.588885770984921,-0.895714938465524,0.370405029903617,0.634035852896089,27,18,29,20,91,63,59,36,14,4,19,24,38,66,50,14
"KH2013:KH.C1.1238",574.212159458034,-0.701724347525146,0.315437286521155,-2.22460811549647,0.0261075573622553,0.135843065847456,713,711,558,622,889,702,805,601,446,600,449,637,1951,848,874,731
"KH2013:KH.C1.443",10.8078677456409,0.0860688519766289,1.16613282305081,0.073807074353209,0.941163897861572,0.97860036288044,2,7,0,7,2,4,7,10,6,2,16,12,32,4,9,11
"KH2013:KH.C1.914",116.384336691763,-0.337571058261562,0.354615803220979,-0.951934615421534,0.341130142871286,0.604746851404562,128,199,90,114,171,192,92,89,55,149,173,86,432,215,233,158
"KH2013:KH.C1.150",577.214478900475,-0.335583233760085,0.234704437323947,-1.4298120546264,0.15277096835532,0.3927984392103,922,750,451,705,1044,619,731,576,298,445,758,431,1470,831,1244,844
"KH2013:KH.C1.771",23.0699468403475,2.740278725242,0.928784522802156,2.95039232240277,0.00317370648248615,0.0349492560262137,11,8,18,6,23,14,12,25,8,5,26,36,84,36,34,34
"KH2013:KH.C1.110",271.857253180905,-0.441929081861661,0.260647971849775,-1.69550170954857,0.0899802862230179,0.285180754469192,247,251,273,405,387,221,146,209,163,171,796,187,566,388,633,546
"KH2013:KH.C1.831",347.805720676782,0.260419147219587,0.374967609476224,0.694511047456485,0.48736177511131,0.729713868494376,302,307,197,230,398,612,370,218,101,244,723,269,1290,705,952,370
"KH2013:KH.C1.997",1309.07771136847,-0.279016849678278,0.177259991905158,-1.57405428421527,0.11547490018214,0.333170111153723,1216,1228,1093,1327,1903,1841,1645,1288,1041,1190,1486,1336,3148,1498,1983,1737
"KH2013:KH.C1.781",5.06721276758372,-2.85153392168009,1.62561054441242,-1.75413104416765,0.0794080553604207,0.264511065419073,4,16,4,5,0,2,11,0,0,1,5,7,18,13,3,19
"KH2013:KH.C1.15",41.7113326960679,0.90132926641849,0.847820719045824,1.06311304521183,0.287730689226106,0.551493942400171,8,22,97,4,11,6,14,16,83,5,403,72,77,50,43,30
"KH2013:KH.C1.344",92.0899061917587,1.02460010438679,0.654859497551391,1.56461058932169,0.117674244428966,0.3365988992662,49,118,173,100,86,72,43,27,52,115,51,103,255,204,283,354
"KH2013:KH.C1.269",397.259593059735,-0.0787618941370888,0.250956615066489,-0.313846654794182,0.753637507905401,0.888865929153541,511,420,378,458,675,678,404,253,230,293,186,247,706,465,715,454
"KH2013:KH.C1.1208",76.9700718061155,0.27655638842135,0.786763245940485,0.351511575875356,0.725204589596247,0.872984383728273,81,70,40,73,88,80,54,43,31,42,316,50,360,92,50,89
"KH2013:KH.C1.208",88.9941541196302,0.0333458713523583,0.728625752283635,0.0457654306725321,0.963497212253024,0.98645313982042,52,65,27,15,28,100,37,24,18,15,486,244,96,29,86,77
