"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,0.83513540985907,0.615575374650755,1.35667449389586,0.174884660288837,NA,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,0.411848072952936,7.28658944202238,0.0565213775566623,0.954926465917695,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,-1.15315222447654,1.04087011388621,-1.10787331588484,0.267916531208167,NA,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,0.243940331546557,0.321038285353927,0.759848101224519,0.447345386820902,0.999598619080225,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,0.343214061483897,0.38778817308045,0.885055515637642,0.376126690135478,0.999598619080225,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,-0.00807972669571679,0.935758949733446,-0.00863441028057313,0.993110822947116,NA,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,0.343522418508006,0.280411831313027,1.22506392436961,0.220551136266466,0.999598619080225,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,4.21617847994511,2.26002381630421,1.86554603961642,0.0621049051459037,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,0.340252755437251,0.310813427228028,1.09471704125454,0.273640620437673,0.999598619080225,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,0.148092741608057,0.295417909550111,0.501299131909726,0.616160616142251,0.999598619080225,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
