"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C4.584",331.268341635777,0.042853433703572,0.382183110163017,0.112128015508831,0.910721904328639,NA,302,377,239,357,634,213,321,239,146,198,387,209,955,563,727,470
"KH2013:KH.C4.456",27.3246769170075,0.970990220851682,1.01214089897742,0.959342935190827,0.337386012511449,NA,8,39,22,110,85,6,5,10,2,5,27,33,105,25,71,60
"KH2013:KH.C4.371",13.117066017567,1.56196395220603,1.41048631861784,1.10739390491687,0.268123659991673,NA,4,4,3,43,18,73,9,5,19,9,6,44,22,2,49,15
"KH2013:KH.C4.760",622.273609713989,0.185837038280304,0.331208504439344,0.561087761302752,0.574737710954668,0.999929152946801,395,486,650,907,451,579,484,327,568,364,602,408,1787,918,1165,1024
"KH2013:KH.C4.553",11.169736271428,0.067011484857924,0.979371729090373,0.0684229316279768,0.945448967805556,NA,17,14,25,8,10,3,15,6,6,4,11,9,19,36,26,26
"KH2013:KH.C4.448",68.8929896061544,-0.714433418577899,0.401557659838455,-1.77915524974748,0.0752143127402846,NA,88,128,96,83,56,51,124,71,47,70,47,71,323,144,116,103
"KH2013:KH.C4.707",96.6145081019431,-0.474641161992551,0.591631919449473,-0.802257529367611,0.422404004305981,NA,91,115,75,89,151,244,47,69,28,40,111,55,188,109,98,76
"KH2013:KH.C4.271",165.14956595203,-0.660405648620247,0.738255371734509,-0.894549059722577,0.371028193049346,NA,59,54,128,104,315,449,12,11,352,219,2,7,66,73,234,202
"KH2013:KH.C4.281",140.430782077668,-0.264615819598808,0.623069676808048,-0.424696995293401,0.671057574464112,NA,116,154,103,147,324,347,95,84,73,62,172,178,201,112,214,205
"KH2013:KH.C4.179",22.7220611029251,-0.23124604738251,0.854115121775182,-0.270743417938663,0.786588380807,NA,33,47,13,21,27,54,11,19,12,10,15,18,82,38,61,45
"KH2013:KH.C4.364",179.659932306726,0.00214014105006937,0.358848904083475,0.00596390577124776,0.995241519871462,NA,190,163,122,152,323,148,176,170,94,102,200,102,703,357,507,280
"KH2013:KH.C4.329",16.7335148533299,0.358911525404868,1.38725764207966,0.258720164530374,0.795851160109707,NA,13,5,12,36,37,54,8,12,20,0,10,32,1,1,9,15
"KH2013:KH.C4.745",94.8678798534912,-0.289566235751257,0.684032355560707,-0.423322425316997,0.672060034889338,NA,37,41,68,86,137,248,56,79,35,79,91,128,67,59,128,142
"KH2013:KH.C4.270",1.18494321623092,0.701054208022882,3.42879311912986,0.204460923615244,0.837993325383569,NA,1,1,1,0,0,5,0,2,0,0,4,0,1,2,1,1
"KH2013:KH.C4.79",5.983614900139,-0.276277709576646,2.94335876584121,-0.0938647754337504,0.925216575390947,NA,2,1,0,2,0,29,5,3,0,0,5,5,1,3,2,4
"KH2013:KH.C4.624",43.5972240759115,0.398669688276374,1.00015565938303,0.398607641256865,0.690182330380912,NA,28,35,13,19,21,49,19,28,5,23,7,30,229,213,69,76
"KH2013:KH.C4.656",26.5115614735874,1.48438344258313,1.0095352698031,1.47036313339766,0.141463430589073,NA,12,14,4,27,68,156,10,5,8,11,94,73,21,34,14,35
"KH2013:KH.C4.675",19.8705730228705,0.840912020479479,1.00278068520682,0.838580192942229,0.401704929395031,NA,17,11,2,22,4,27,16,6,17,20,37,20,19,31,16,13
"KH2013:KH.C4.744",871.382272016986,-0.311591995175635,0.214257590008577,-1.45428684772923,0.145866795333509,0.999929152946801,867,845,775,952,896,1345,1030,801,473,603,1318,663,2056,1224,1967,1137
"KH2013:KH.C4.297",71.1057866647656,0.206299737492399,0.503892433169022,0.409412255300128,0.682237147428216,NA,82,78,65,47,39,42,87,56,43,65,220,50,286,115,96,159
"KH2013:KH.C4.463",12.1845334486971,1.53939633932556,1.27613533810311,1.20629551847829,0.227703565034835,NA,9,14,12,1,0,4,4,6,8,0,68,18,28,7,11,18
"KH2013:KH.C4.793",6.89578458476125,0.0966692662493289,1.16115497834495,0.0832526820727378,0.933650623854415,NA,16,9,8,15,1,8,13,11,2,4,10,3,20,22,38,21
"KH2013:KH.C4.520",38.9838357840977,-0.796162760886655,0.893643887926896,-0.890917256462884,0.372973561863331,NA,50,29,17,32,67,33,59,14,35,41,41,51,71,125,56,73
"KH2013:KH.C4.272",1.51830503042356,1.0212042411898,2.39582590328799,0.4262430921163,0.669930720369731,NA,2,2,0,0,1,1,1,3,0,1,20,0,9,2,3,1
"KH2013:KH.C4.153",10.9853843722844,0.908028116006424,1.77931563005369,0.510324363294119,0.609824236938624,NA,1,2,8,4,181,12,7,1,0,0,4,1,6,0,3,5
"KH2013:KH.C4.5",30.6908109742221,-0.0141963873915127,0.770617480301707,-0.0184220936513855,0.985302127247434,NA,32,33,15,13,144,20,20,23,15,36,104,39,38,59,74,25
"KH2013:KH.C4.601",64.4782454827078,-0.527873007250719,0.601908844132545,-0.876998257122265,0.380487584731252,NA,74,66,54,32,60,147,63,68,44,92,25,42,105,73,115,85
"KH2013:KH.C4.465",0.97747948541599,0.528706299451575,3.89948495692065,0.135583623297032,0.892150452605288,NA,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,2
"KH2013:KH.C4.552",5.76221360627579,0.392978100678839,1.57901581370641,0.24887534201219,0.803457209504445,NA,4,2,3,4,7,4,5,3,2,4,0,2,4,11,15,5
