"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,0.393708701311939,0.636459250776924,0.618592157834676,0.536185069387959,0.999503595910232,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,1.90209697681741,7.27254518232913,0.26154488272402,0.793672342219285,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,0.381453604520773,0.800608075053758,0.476454855261308,0.633750362316724,NA,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,0.0374441687238756,0.321259098688576,0.116554422510453,0.907213157029808,0.999503595910232,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,-0.10386099498265,0.386669382181212,-0.268604135131588,0.78823432983345,0.999503595910232,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,-0.593317666671383,0.94692944803323,-0.626570087036265,0.530941081398609,0.999503595910232,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,0.303101009023017,0.279683651100084,1.08372801853389,0.278485408813383,0.999503595910232,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,-1.77747458392887,2.20116097199376,-0.807516854307512,0.419368768169924,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,0.0129734106729928,0.305243191640955,0.0425018838364555,0.96609861002471,0.999503595910232,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,0.0200361291467026,0.294346546223595,0.0680698632403267,0.945730020345766,0.999503595910232,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
"KH2013:KH.C1.403",2.31761881347799,-0.0531448369024741,3.45129297249042,-0.0153985295731429,0.987714236518988,NA,0,14,3,4,7,0,1,4,0,0,2,0,11,2,0,0
"KH2013:KH.C1.881",110.212747920876,-0.166902299892133,0.529281599825462,-0.315337430863214,0.75250546789586,0.999503595910232,70,92,96,123,232,120,95,70,30,99,53,102,399,185,263,102
"KH2013:KH.C1.1034",26.4632730263252,-0.0621280129377114,0.669791019987105,-0.092757309494695,0.926096366820948,NA,24,18,16,12,53,72,22,18,21,14,16,17,57,30,27,60
"KH2013:KH.C1.165",592.332298971341,0.142364376287625,0.266053929310042,0.535095935838343,0.592583520132802,0.999503595910232,598,661,569,738,918,1191,662,611,282,254,659,254,1069,837,1255,913
"KH2013:KH.C1.709",33.719088787804,-0.963369631024975,1.01650369087283,-0.947728610997731,0.343267631619003,NA,41,12,17,18,93,238,55,30,8,17,19,22,33,46,16,24
"KH2013:KH.C1.841",29.9990813977889,0.0660074721406953,0.713057688272776,0.0925696100417677,0.926245487725445,NA,27,18,29,20,91,63,59,36,14,4,19,24,38,66,50,14
"KH2013:KH.C1.1238",574.212159458034,0.309831904933146,0.338875543590593,0.91429408463735,0.360562338013743,0.999503595910232,713,711,558,622,889,702,805,601,446,600,449,637,1951,848,874,731
"KH2013:KH.C1.443",10.8078677456409,0.251463139145518,1.45238798417188,0.173137716564695,0.862543179077573,NA,2,7,0,7,2,4,7,10,6,2,16,12,32,4,9,11
"KH2013:KH.C1.914",116.384336691763,0.354416942888075,0.356691407910973,0.993623437592123,0.320406229309999,0.999503595910232,128,199,90,114,171,192,92,89,55,149,173,86,432,215,233,158
"KH2013:KH.C1.150",577.214478900475,-0.0835485017076035,0.288282865746758,-0.289814316543518,0.771958294681425,0.999503595910232,922,750,451,705,1044,619,731,576,298,445,758,431,1470,831,1244,844
"KH2013:KH.C1.771",23.0699468403475,0.242693339808317,1.13530076804744,0.213770083346033,0.83072635569699,NA,11,8,18,6,23,14,12,25,8,5,26,36,84,36,34,34
"KH2013:KH.C1.110",271.857253180905,-0.0806836911557594,0.29394198812008,-0.274488485540211,0.783709251150784,0.999503595910232,247,251,273,405,387,221,146,209,163,171,796,187,566,388,633,546
"KH2013:KH.C1.831",347.805720676782,0.0179615565767479,0.337132954866193,0.0532773682236932,0.957510912127602,0.999503595910232,302,307,197,230,398,612,370,218,101,244,723,269,1290,705,952,370
"KH2013:KH.C1.997",1309.07771136847,0.0998917769327227,0.187165187322764,0.533709170821711,0.593542763230072,0.999503595910232,1216,1228,1093,1327,1903,1841,1645,1288,1041,1190,1486,1336,3148,1498,1983,1737
"KH2013:KH.C1.781",5.06721276758372,-0.532992606570114,1.5576594129113,-0.342175319040982,0.732218957959099,NA,4,16,4,5,0,2,11,0,0,1,5,7,18,13,3,19
"KH2013:KH.C1.15",41.7113326960679,-1.22880031721254,0.989525568274429,-1.24180754556486,0.214307578075586,NA,8,22,97,4,11,6,14,16,83,5,403,72,77,50,43,30
"KH2013:KH.C1.344",92.0899061917587,0.264424604806694,0.77582488970514,0.340830267648659,0.733231362995167,0.999503595910232,49,118,173,100,86,72,43,27,52,115,51,103,255,204,283,354
"KH2013:KH.C1.269",397.259593059735,0.503316595148347,0.290539295728978,1.73235291248814,0.0832107463573824,0.942612366732618,511,420,378,458,675,678,404,253,230,293,186,247,706,465,715,454
"KH2013:KH.C1.1208",76.9700718061155,0.375256610888105,0.899228381842544,0.417309571701011,0.676451988249711,0.999503595910232,81,70,40,73,88,80,54,43,31,42,316,50,360,92,50,89
"KH2013:KH.C1.208",88.9941541196302,0.263606853356548,0.607045693797411,0.434245487695563,0.664110184433424,0.999503595910232,52,65,27,15,28,100,37,24,18,15,486,244,96,29,86,77
"KH2013:KH.C1.1011",643.409662434636,0.272310268303948,0.288366866431282,0.944318852141219,0.345006735062985,0.999503595910232,733,897,733,871,901,605,538,343,250,279,777,480,2370,1135,1489,938
"KH2013:KH.C1.230",201.741455045667,-0.288350205685663,0.427971338430645,-0.673760553085244,0.500463557464085,0.999503595910232,321,294,217,210,159,148,238,142,66,50,168,75,839,380,611,426
"KH2013:KH.C1.516",76.0739827179298,-0.48121251240532,0.407407438744697,-1.18115789414163,0.237540004599163,0.999503595910232,72,74,67,71,87,32,62,50,58,31,252,62,287,129,163,79
