"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.L41.78",28.0742889274588,0.371016758860077,0.671061120337185,0.552880725191848,0.580345086745221,0.759472331061062,44,48,23,11,39,102,38,38,7,28,29,20,63,46,29,59
"KH2013:KH.L41.26",92.2713454287074,0.13882153278908,0.541811898795857,0.256217209510537,0.797783120788548,0.898607677812642,80,98,59,62,182,66,97,92,39,92,67,42,180,62,90,100
"KH2013:KH.L41.69",4.99709595714068,2.18888830296779,1.58001617308111,1.38535816294801,0.16594297704386,NA,6,8,10,1,4,13,6,3,3,1,19,11,29,11,10,19
"KH2013:KH.L41.62",2800.77134168198,0.61039788817807,0.218914923382853,2.78828815663044,0.00529873895496277,0.0369398013436913,2619,3216,2216,2456,6724,4102,3410,2782,1771,2050,3309,2367,5407,2868,5021,4152
"KH2013:KH.L41.43",23.3243723796182,0.258859351802748,0.706746695784138,0.366268923996232,0.714164415915426,0.848199187479462,23,23,16,20,51,12,35,32,11,12,90,16,75,53,63,52
"KH2013:KH.L41.71",77.3182093871271,-0.470879058412999,0.498773772235533,-0.944073414892069,0.345132133578244,0.571988703482816,94,67,58,82,105,48,85,75,45,63,229,73,199,119,154,72
"KH2013:KH.L41.76",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KH2013:KH.L41.6",19.3737584237867,-0.470153520044939,0.808569840052232,-0.581463092927839,0.560928385481179,0.746783950452896,28,28,10,9,30,17,33,21,15,12,16,11,59,36,34,17
"KH2013:KH.L41.27",133.512905217966,-0.159679431788292,0.458090669970497,-0.348576040194349,0.72740761797581,0.856287988384904,139,157,60,104,203,139,200,130,68,129,216,131,446,233,211,144
"KH2013:KH.L41.28",50.2272867252564,0.0899978973577505,0.450513928613058,0.199767180639267,0.841662669979559,0.92344759624941,63,69,27,60,53,71,54,44,25,41,124,40,107,58,87,77
"KH2013:KH.L41.11",11.8971779575444,0.520703870976702,0.946845310850379,0.549935522740297,0.582363598520828,0.760543414504109,15,27,5,14,10,38,2,8,5,3,5,4,74,18,28,22
"KH2013:KH.L41.48",4.62561906997909,1.51218043312445,1.46972875498877,1.02888402230111,0.303534177318914,NA,21,9,4,11,27,1,4,2,2,5,16,4,10,34,2,1
"KH2013:KH.L41.32",2.26008875248434,2.3031030012057,1.69778569696146,1.35653339837153,0.174929516346901,NA,6,12,3,5,8,1,5,1,0,0,2,0,5,1,3,0
"KH2013:KH.L41.66",3.46672853934265,1.56577554274574,1.35336810074962,1.15694727981137,0.247293900379338,NA,7,3,1,1,1,1,3,1,0,0,8,1,21,12,2,1
"KH2013:KH.L41.57",7.58528638883949,-0.386672882984628,0.871748320678927,-0.443560226974092,0.657360566615326,NA,4,19,10,1,32,3,3,13,4,2,31,17,38,10,27,23
