GeneID,UniqueNAME,NewAnnotation_ASMTVC2.best_model,coevcoew_logfc,coevcoew_pval,coevlacz_logfc,coevlacz_pval,coewvlacz_logfc,coewvlacz_pval
KH2013:KH.S1148.2,IRK-1/2,KYOTOGRAIL2005.1148.2.1,1.953463215,0.040030716,1.054056509,0.559704479,-0.899406706,0.57061476
KH2013:KH.S1440.1,KH2013:KH.S1440.1_ACTA1/2,KYOTOGRAIL2005.1440.1.2,2.04174793,0.001181035,0.318484041,0.903980828,-1.723263889,0.014979502
KH2013:KH.S164.13,KH2013:KH.S164.13_FUT3/4/5/6/7/9,KYOTOGRAIL2005.164.23.1,1.30615346,0.042194722,1.153126202,0.213433234,-0.153027258,0.949991032
KH2013:KH.S1961.1,GLS,KYOTOGRAIL2005.1961.1.1,1.859612446,0.004555263,0.802350497,0.557198996,-1.05726195,0.243093825
KH2013:KH.S2006.1,KH2013:KH.S2006.1_SEPT7,KYOTOGRAIL2005.2006.1.1,1.482241659,0.048278139,0.435846244,0.852362043,-1.046395415,0.271193479
KH2013:KH.S406.19,FGF16/20/22/3/9,KYOTOGRAIL2005.406.11.1,1.861698411,0.000037,0.466124428,0.697351148,-1.395573984,0.006263143
KH2013:KH.S423.6,SMYD1,KYOTOGRAIL2005.423.3.1,2.186400288,0.000127648,0.680549476,0.610310949,-1.505850812,0.02646382
KH2013:KH.S544.3,DMRTA1/2,KYOTOGRAIL2005.544.1.1,1.579889865,0.023833474,0.909403567,0.466537703,-0.670486298,0.583467037
KH2013:KH.S610.5,KH2013:KH.S610.5_BATH-1/10/13/15/2/20/24/27/29/3/31/33/35/36/38/39/4/5/7/9,KYOTOGRAIL2005.610.2.1,2.441148241,0.00335113,2.030010162,0.07236199,-0.411138079,0.875658734
KH2013:KH.S618.6,GALA_CHICK,KYOTOGRAIL2005.618.1.1,1.74828144,0.003354431,1.11033573,0.271593043,-0.63794571,0.554389683
KH2013:KH.S781.11,PAR1,KYOTOGRAIL2005.781.11.1,1.995865483,0.007289315,1.518319792,0.174197378,-0.477545691,0.80045523
KH2013:KH.S781.9,GALNT4/6,KYOTOGRAIL2005.781.12.1,1.114739408,0.017640331,0.448826077,0.680327845,-0.665913331,0.308266947
KH2013:KH.C5.623,KH2013:KH.C5.623,KYOTOGRAIL2005.86.41.1,2.088596863,0.0000449,1.672952905,0.008028267,-0.415643958,0.742687277
KH2013:KH.C2.1139,KH2013:KH.C2.1139,KYOTOGRAIL2005.117.20.1,2.180034946,0.0000205,0.453073808,0.772189163,-1.726961138,0.002175522
KH2013:KH.C3.354,KH2013:KH.C3.354,KYOTOGRAIL2005.20.88.1,1.266163155,0.006792604,0.046701097,0.986434625,-1.219462058,0.015741369
KH2013:KH.C6.160,KH2013:KH.C6.160_NUDCD3,KYOTOGRAIL2005.1071.2.1,2.414970501,0.001102595,1.415447335,0.270213277,-0.999523166,0.406284544
