GeneID,UniqueNAME,NewAnnotation_ASMTVC2.best_model,coevcoew_logfc,coevcoew_pval,coevlacz_logfc,coevlacz_pval,coewvlacz_logfc,coewvlacz_pval
KH2013:KH.C8.456,WDR67,KYOTOGRAIL2005.3.88.1,-1.512094432,0.013607303,-1.057977879,0.285628654,0.454116553,0.740087058
KH2013:KH.C8.482,NKX2-3,KYOTOGRAIL2005.91.13.1,-1.919870841,0.001107561,-0.660781383,0.629843147,1.259089458,0.086666747
KH2013:KH.C8.489,KH2013:KH.C8.489_SI:DKEY-29D8.3,KYOTOGRAIL2005.11.45.1,-1.325861147,0.012128042,-0.227227974,0.922071439,1.098633173,0.074397744
KH2013:KH.C8.49,KH2013:KH.C8.49_FOXI1/3,KYOTOGRAIL2005.91.21.1,-2.295387361,0.000132261,-0.051585259,0.989030433,2.243802102,0.000422915
KH2013:KH.C8.551,KH2013:KH.C8.551_CYP26B1,KYOTOGRAIL2005.13.65.1,-1.363025797,0.035926883,0.478639399,0.785196059,1.841665196,0.002841476
KH2013:KH.C8.595,PPAP2B,KYOTOGRAIL2005.411.8.1,-1.521944802,0.032707673,-0.934756168,0.446303868,0.587188634,0.665448793
KH2013:KH.C8.662,FOXI1/2,KYOTOGRAIL2005.91.20.1,-2.120446478,0.046695498,-0.110445158,0.986301979,2.010001321,0.083801418
KH2013:KH.C8.710,STC1/2,KYOTOGRAIL2005.47.11.1,-3.409134442,5.95E-10,0.146179473,0.967452177,3.555313915,4.61E-10
KH2013:KH.C8.751,FREM1,KYOTOGRAIL2005.13.112.1,-1.993026841,0.0000177,-0.154821406,0.955686792,1.838205435,0.000205457
KH2013:KH.C8.863,KH2013:KH.C8.863_TRIM2/3,KYOTOGRAIL2005.1.120.1,-2.075734317,0.0000141,0.722060536,0.446928097,2.797794853,2.37E-08
KH2013:KH.C8.91,KH2013:KH.C8.91,KYOTOGRAIL2005.1.174.1,-1.878142456,0.040030716,-0.45406643,0.888175316,1.424076026,0.200828961
KH2013:KH.C9.106,KH2013:KH.C9.106_TGFBR3,KYOTOGRAIL2005.21.46.1,-1.058110206,0.017055503,-0.758713766,0.285628654,0.29939644,0.774909389
KH2013:KH.C9.133,UNC5A,KYOTOGRAIL2005.21.39.1,-1.60712553,0.000111719,-0.788436091,0.285628654,0.818689438,0.147584194
KH2013:KH.C9.172,KH2013:KH.C9.172_CTGF,KYOTOGRAIL2005.102.6.1,-2.059794466,0.009417893,0.079624535,0.986434625,2.139419001,0.010857884
KH2013:KH.C9.234,MTDH,KYOTOGRAIL2005.103.21.1,-1.10438753,0.00529374,-0.261757969,0.849446977,0.842629561,0.07471422
KH2013:KH.C9.27,WNT2/3,KYOTOGRAIL2005.21.6.1,-2.170873857,0.000225587,-0.045469896,0.989576796,2.125403961,0.000641073
KH2013:KH.C9.281,ASS1,KYOTOGRAIL2005.309.3.1,-1.810149177,0.000111719,-0.597196833,0.56747465,1.212952344,0.030084408
KH2013:KH.C9.369,SNUPN,KYOTOGRAIL2005.14.96.1,-1.108040121,0.021860978,-1.117269989,0.06944271,-0.009229868,0.998272416
KH2013:KH.C9.409,KH2013:KH.C9.409_SULT2A1/3/4/5/6,KYOTOGRAIL2005.309.4.1,-1.884333879,0.000199058,-0.109505771,0.978742067,1.774828108,0.00107827
KH2013:KH.C9.523,NEK6/7,KYOTOGRAIL2005.308.15.1,-1.227207756,0.019322045,-0.608456743,0.557454185,0.618751014,0.445366415
KH2013:KH.C9.608,KH2013:KH.C9.608_PDE9A,KYOTOGRAIL2005.102.27.1,-2.19545408,0.002709159,-0.562953401,0.804380653,1.632500678,0.060691363
KH2013:KH.C9.698,GPX7/8,KYOTOGRAIL2005.361.8.1,-1.669324032,0.001102595,-1.048222028,0.208118887,0.621102004,0.484427107
KH2013:KH.C9.94,TRA-4,KYOTOGRAIL2005.2163.1.1,-2.998479015,0.003987441,-0.791061353,0.805879708,2.207417663,0.079122957
KH2013:KH.L112.20,KH2013:KH.L112.20,KYOTOGRAIL2005.258.7.1,-1.969386681,0.009630782,0.39218975,0.892449175,2.361576432,0.002080793
KH2013:KH.L116.25,IMPACT,KYOTOGRAIL2005.174.20.1,-1.069021956,0.017640331,-0.565756465,0.507957947,0.503265491,0.489189323
KH2013:KH.L144.17,KH2013:KH.L144.17_BIRC2,KYOTOGRAIL2005.288.16.1,-2.152495136,0.003950629,-0.650155263,0.752336809,1.502339873,0.102973617
KH2013:KH.L154.36,CYP4F22/39,KYOTOGRAIL2005.176.24.1,-1.816828418,0.007289315,-0.345918288,0.89344439,1.47091013,0.060789702
KH2013:KH.L170.24,TRABD,KYOTOGRAIL2005.109.23.1,-1.113275923,0.037472,-0.261801324,0.889570701,0.851474599,0.188570835
KH2013:KH.L170.56,KH2013:KH.L170.56_C2ORF89,KYOTOGRAIL2005.1898.1.1,-2.358023258,0.0000232,-0.767577708,0.524325143,1.59044555,0.01463838
KH2013:KH.L170.89,KH2013:KH.L170.89_C2ORF89,KYOTOGRAIL2005.109.5.1,-3.568453519,1.22E-11,-0.822388223,0.382802373,2.746065296,0.000000076
KH2013:KH.L171.5,SFRP1/5,KYOTOGRAIL2005.148.4.1,-1.56011743,0.028930924,0.077648608,0.986301979,1.637766038,0.027678399
KH2013:KH.L18.113,PQLC2,KYOTOGRAIL2005.413.4.1,-1.208262461,0.008367218,-0.126339505,0.961787977,1.081922956,0.033390963
KH2013:KH.L18.97,SAP130,KYOTOGRAIL2005.165.19.1,-1.073041741,0.016695389,-0.737367573,0.309462855,0.335674168,0.731977588
KH2013:KH.L19.12,WNT10A,KYOTOGRAIL2005.228.8.2,-2.555923314,2.41E-08,-0.058923352,0.986301979,2.496999962,0.000000076
KH2013:KH.L20.1,GATA4/5/6,KYOTOGRAIL2005.313.4.1,-1.335444102,0.042194722,-1.173235159,0.218052203,0.162208943,0.947773681
KH2013:KH.L20.30,EPG5,KYOTOGRAIL2005.527.2.1,-1.157590985,0.018976103,-0.593286036,0.538613622,0.564304949,0.468955026
KH2013:KH.L22.21,KH2013:KH.L22.21_ITGA1/10/11,KYOTOGRAIL2005.179.23.1,-1.90206605,0.013257068,-0.907424033,0.557454185,0.994642017,0.395240715
KH2013:KH.L30.1,KH2013:KH.L30.1,KYOTOGRAIL2005.1156.2.1,-1.583706832,0.000638953,-0.505309285,0.647273227,1.078397547,0.054344301
KH2013:KH.L31.5,FAN1,KYOTOGRAIL2005.685.3.1,-1.07330883,0.009338948,-0.63970807,0.367903227,0.43360076,0.548465415
KH2013:KH.L34.17,TNK2,KYOTOGRAIL2005.463.2.1,-1.017553178,0.007289315,0.093230856,0.969109702,1.110784034,0.004779639
KH2013:KH.L37.47,KH2013:KH.L37.47_T07G12.2/5,KYOTOGRAIL2005.214.5.1,-1.594555712,0.029562423,-0.446431334,0.851408829,1.148124378,0.210962095
KH2013:KH.L47.9,GREM1/2,KYOTOGRAIL2005.453.2.1,-1.83525027,0.004868237,-0.573469095,0.745008881,1.261781175,0.122777852
KH2013:KH.L73.5,KH2013:KH.L73.5_Ci-META5,KYOTOGRAIL2005.285.8.1,-2.756606913,0.049855094,-1.31758263,0.652839466,1.439024283,0.503241692
KH2013:KH.L84.16,KH2013:KH.L84.16_PTGS1/2,KYOTOGRAIL2005.207.19.1,-1.628408257,0.034804868,-0.827910724,0.588234478,0.800497532,0.51296955
KH2013:KH.L96.40,BCAS3,KYOTOGRAIL2005.212.25.1,-1.219386734,0.000987124,-0.077336195,0.978759731,1.142050539,0.004350334
KH2013:KH.S115.33,KH2013:KH.S115.33_BIRC2/3,KYOTOGRAIL2005.115.11.1,-1.43408684,0.017640331,0.011634629,0.996525263,1.445721469,0.0250104
KH2013:KH.S1428.1,KH2013:KH.S1428.1_TDO2,KYOTOGRAIL2005.1428.1.1,-1.776958096,0.019893887,-0.095260665,0.986301979,1.681697431,0.042555377
KH2013:KH.S1555.2,KH2013:KH.S1555.2,KYOTOGRAIL2005.1555.1.1,-1.455160109,0.008554294,-0.764948231,0.449772948,0.690211878,0.428510985
KH2013:KH.S1903.1,KH2013:KH.S1903.1,KYOTOGRAIL2005.1903.1.1,-2.094380304,0.013047006,-0.847523806,0.658523712,1.246856498,0.288392573
KH2013:KH.S435.7,KH2013:KH.S435.7_P4HA1/2,KYOTOGRAIL2005.435.8.1,-1.613979828,0.011121469,0.177037503,0.961550579,1.791017331,0.006502684
KH2013:KH.S553.4,CATP-5/6/7,KYOTOGRAIL2005.1931.1.1,-1.206133395,0.030215105,-0.475849867,0.723533153,0.730283528,0.34926994
KH2013:KH.S555.1,KH2013:KH.S555.1_HTR7,KYOTOGRAIL2005.555.8.1,-2.73262257,0.000000179,-0.777582468,0.45092348,1.955040103,0.000383605
KH2013:KH.S562.6,KH2013:KH.S562.6_ALS2CR8,KYOTOGRAIL2005.562.5.1,-1.0472293,0.008669422,-1.481574885,0.000430841,-0.434345585,0.524294199
KH2013:KH.S630.2,KH2013:KH.S630.2_CUZD1,KYOTOGRAIL2005.630.1.1,-1.261736406,0.003863401,-0.028631366,0.990358844,1.23310504,0.0087882
KH2013:KH.S725.5,KH2013:KH.S725.5,KYOTOGRAIL2005.725.2.1,-1.834446413,0.000911335,0.036469736,0.990424842,1.870916149,0.001276265
KH2013:KH.S770.1,SLC2A1/14/2/3/4,KYOTOGRAIL2005.770.1.1,-1.533985066,0.007424606,-0.587784528,0.655106771,0.946200538,0.215187933
KH2013:KH.S787.1,PTEN,KYOTOGRAIL2005.787.1.1,-1.04264355,0.002728127,-0.58069078,0.336405191,0.46195277,0.405029564
KH2013:KH.S918.2,RAP1B,KYOTOGRAIL2005.918.5.1,-1.899463965,0.005458451,-0.218665845,0.954886581,1.68079812,0.027386489
KH2013:KH.S921.3,KH2013:KH.S921.3,KYOTOGRAIL2005.921.4.1,-1.459812375,0.009682407,-1.040619687,0.256711557,0.419192688,0.743426782
KH2013:KH.S926.2,MUC19/2,KYOTOGRAIL2005.926.1.1,-2.687320146,0.006805834,-1.3301275,0.480294442,1.357192646,0.368447654
KH2013:KH.C2.716,PAM16,KYOTOGRAIL2005.30.48.1,-1.524436909,0.023454153,-1.750872283,0.024769088,-0.226435374,0.92604994
KH2013:KH.C3.125,KH2013:KH.C3.125,KYOTOGRAIL2005.74.18.1,-1.671894141,0.000111719,-0.344994239,0.807123315,1.326899901,0.006447378
KH2013:KH.C4.404,KH2013:KH.C4.404,KYOTOGRAIL2005.243.13.1,-1.570778458,0.002350668,-0.310155989,0.871375837,1.260622469,0.033390963
