GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.C1.1166,17.2535774553,-1.8428743917,0.6230489739,-2.9578323194,0.003098106,0.0412626868
KH2013:KH.C1.1253,9.7800628437,-1.3813813017,0.6365609163,-2.1700692993,0.0300015965,0.1737810977
KH2013:KH.C1.139,283.0674853255,0.0156478087,0.354719661,0.0441131699,0.964814195,0.9893018649
KH2013:KH.C1.631,1584.0898918968,0.4931618659,0.2749591654,1.7935822043,0.072879879,0.2919574962
KH2013:KH.C1.130,821.7513159188,0.4053474847,0.3498437732,1.1586528496,0.2465977173,0.5545381645
KH2013:KH.C1.608,461.6301823872,-0.6844055856,0.4103214503,-1.6679741827,0.095320852,0.3354376388
KH2013:KH.C1.1246,1.517748511,-0.4332426571,0.4783270515,-0.905745673,0.365070482,NA
KH2013:KH.C1.1202,1549.3522782862,0.3391810264,0.190937194,1.7764010217,0.0756668428,0.2971481903
KH2013:KH.C1.318,3.6398980318,0.7049099783,0.6243513981,1.1290276285,0.2588861789,NA
KH2013:KH.C1.1156,473.38894551,0.7298944853,0.4420390115,1.6511992522,0.0986978958,0.3422902803
KH2013:KH.C1.568,118.7842615525,0.4724435809,0.4843961173,0.9753248717,0.329399137,0.6392120019
KH2013:KH.C1.523,149.4451132815,0.3695676648,0.4792454599,0.7711448428,0.4406210833,0.7278572214
KH2013:KH.C1.996,498.9776880106,-0.0354440821,0.3505343415,-0.1011144355,0.9194596189,0.9765748033
KH2013:KH.C1.1100,200.8189063194,-0.2424536806,0.5571630298,-0.4351575169,0.6634480968,0.8704083868
KH2013:KH.C1.1153,11.2845463185,0.5938043127,0.6633981564,0.8950949093,0.370736355,0.6757540197
KH2013:KH.C1.114,11.5331344174,0.2071926627,0.6599024997,0.3139746596,0.753540285,0.9128152441
KH2013:KH.C1.159,3300.2235794914,0.8353041459,0.3127663945,2.670696598,0.0075694031,0.0752537522
KH2013:KH.C1.636,48.7376221303,-2.551623912,0.5776834622,-4.416993179,1.00083387246443E-05,0.000544617
KH2013:KH.C1.1256,15.286909128,0.5162286929,0.642037913,0.8040470546,0.4213698002,0.7158094258
KH2013:KH.C1.1039,2260.3216350383,0.5296275631,0.2104232698,2.516962898,0.0118371293,0.0998924487
KH2013:KH.C1.1214,46.454218467,0.2690241798,0.6139970993,0.4381521999,0.6612759565,0.869544876
KH2013:KH.C1.56,30.0253491662,0.3941575408,0.5821931047,0.6770220011,0.4983919953,0.770205411
KH2013:KH.C1.335,650.8589072199,0.2348487617,0.2451499242,0.9579801522,0.338072767,0.6466551119
KH2013:KH.C1.714,184.8706769106,0.2975501796,0.4814101821,0.618080362,0.5365223666,0.7981071062
KH2013:KH.C1.1066,114.8709732786,1.0970768506,0.5051838017,2.1716390092,0.0298829022,0.1734431225
KH2013:KH.C1.816,15.5473446089,0.0134708811,0.6509838331,0.0206931116,0.983490464,0.9961407907
KH2013:KH.C1.512,7.3528241171,-0.3763401983,0.6637005394,-0.5670331362,0.5706916689,0.8194700884
KH2013:KH.C1.375,1.8760096607,0.2320498001,0.5083694438,0.4564589847,0.6480599584,NA
KH2013:KH.C1.1064,178.9241303304,-0.1998223315,0.3720133079,-0.5371375897,0.5911725773,0.8321469522
KH2013:KH.C1.1094,74.4807481618,0.8556904168,0.4594060455,1.8626015595,0.0625183448,0.2674886305
KH2013:KH.C1.421,662.5815789892,1.5582296373,0.3369532651,4.6244681341,3.75560813581877E-06,0.0002635251
KH2013:KH.C1.331,29.8545497906,-0.9433636466,0.5852335706,-1.6119438357,0.106974162,0.3577074312
KH2013:KH.C1.1000,607.250417777,0.5555314349,0.23267863,2.3875481601,0.0169611803,0.1242360895
KH2013:KH.C1.666,76.2651261313,-0.4468534445,0.6379260402,-0.7004784511,0.483628558,0.7582003687
KH2013:KH.C1.588,9.4118144078,-0.0756695198,0.6599562851,-0.1146583819,0.9087159027,0.9734051434
KH2013:KH.C1.922,102.656539967,-2.1166442122,0.5858087415,-3.6132001148,0.0003024411,0.0077244153
KH2013:KH.C1.193,0.135461797,0.079461544,0.2629053684,0.3022439005,0.7624661404,NA
KH2013:KH.C1.10,155.0008740047,0.099785756,0.5156527513,0.1935134754,0.8465568537,0.9501048887
KH2013:KH.C1.487,413.8789181428,-0.0689193175,0.3960077211,-0.1740352873,0.8618377301,0.9575815166
KH2013:KH.C1.927,55.3853497221,-0.5937145396,0.6255045657,-0.9491769878,0.3425306035,0.6503207156
KH2013:KH.C1.376,203.8743518656,0.9079801066,0.3706302966,2.4498269972,0.0142924868,0.1119841803
KH2013:KH.C1.912,4859.4243307779,-0.0190563634,0.2320205165,-0.082132234,0.9345415607,0.9815561548
KH2013:KH.C1.539,2571.0784774621,-0.6727770487,0.1921451319,-3.5014004367,0.0004628199,0.010662667
KH2013:KH.C1.584,869.6109373282,0.5364791606,0.2409116472,2.2268709993,0.0259558966,0.15957904
KH2013:KH.C1.352,57.8536173075,0.1277177015,0.5573025158,0.2291712272,0.8187358349,0.9408193544
KH2013:KH.C1.245,106.5784404253,-0.1669196127,0.41810411,-0.3992297819,0.6897239008,0.8842580099
KH2013:KH.C1.96,4612.5172396828,-0.2359071741,0.2250526334,-1.0482311208,0.2945321355,0.6054048135
KH2013:KH.C1.359,75.7937716422,0.6550741106,0.3824040507,1.7130417668,0.086704856,0.3189705132
KH2013:KH.C1.596,27.9180941542,-2.1224909149,0.5644993042,-3.7599531107,0.0001699452,0.0051610695
KH2013:KH.C1.866,121.0468706425,0.5928928183,0.4032565546,1.4702620739,0.1414907886,0.4150396465
KH2013:KH.C1.858,255.2783490283,0.5446794476,0.3564795769,1.5279401201,0.1265274058,0.3926590723
KH2013:KH.C1.234,251.6078733258,-0.0668991287,0.3852176932,-0.1736657737,0.8621281373,0.9578243606
KH2013:KH.C1.1155,122.470087038,-0.0208546555,0.489465961,-0.0426069576,0.9660148492,0.9896956865
