foxf1_ko_10hpf_rnaseq_june_6	foxf_ko_10hpf_rnaseq_may_31	lacz1_ko_10hpf_rnaseq_may_31	lacz2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_may_31
KH2013:KH.C1.566	0	1	1	1	1	2
KH2013:KH.C1.567	265	627	298	252	325	808
KH2013:KH.C1.568	4	15	6	8	3	30
KH2013:KH.C1.569	0	1	0	0	0	0
KH2013:KH.C1.57	274	807	427	179	269	1190
KH2013:KH.C1.570	16580	35992	19861	9670	13691	48345
KH2013:KH.C1.571	3047	6172	3036	2295	2830	8373
KH2013:KH.C1.572	171	467	173	100	161	608
KH2013:KH.C1.573	76	157	90	68	105	279
KH2013:KH.C1.574	1156	2871	1360	988	1221	3705
KH2013:KH.C1.575	122	390	202	86	92	607
KH2013:KH.C1.577	15	29	27	13	33	67
KH2013:KH.C1.578	37	109	53	32	55	145
KH2013:KH.C1.579	1	6	3	1	6	15
KH2013:KH.C1.58	553	1261	712	345	447	1948
KH2013:KH.C1.580	67	155	66	51	62	193
KH2013:KH.C1.581	267	599	332	198	190	879
KH2013:KH.C1.582	5	2	0	0	2	6
KH2013:KH.C1.583	101	248	294	288	233	800
KH2013:KH.C1.584	531	1415	712	392	521	2075
KH2013:KH.C1.585	67	235	153	49	103	408
KH2013:KH.C1.586	0	0	1	0	0	0
KH2013:KH.C1.587	0	1	0	0	1	0
KH2013:KH.C1.588	0	1	1	0	1	7
KH2013:KH.C1.589	617	1452	823	397	527	2416
KH2013:KH.C1.59	72	168	81	40	72	210
KH2013:KH.C1.590	0	0	0	0	1	0
KH2013:KH.C1.591	74	55	26	53	58	97
KH2013:KH.C1.592	5	37	12	2	4	21
KH2013:KH.C1.593	6	21	23	8	11	50
KH2013:KH.C1.594	0	0	0	1	0	0
KH2013:KH.C1.595	0	0	0	1	1	2
KH2013:KH.C1.596	5	23	14	5	3	28
KH2013:KH.C1.597	1	1	3	0	0	0
KH2013:KH.C1.598	778	1788	974	671	745	2620
KH2013:KH.C1.599	178	567	219	173	302	515
KH2013:KH.C1.6	88	194	109	45	68	328
KH2013:KH.C1.60	122	305	150	135	101	463
KH2013:KH.C1.600	95	214	148	64	81	374
KH2013:KH.C1.601	1	0	0	1	0	0
KH2013:KH.C1.602	1	2	0	1	5	0
KH2013:KH.C1.603	450	1157	601	413	393	1763
KH2013:KH.C1.604	0	2	0	0	0	4
KH2013:KH.C1.605	42	114	52	32	47	161
KH2013:KH.C1.606	116	328	139	73	97	398
KH2013:KH.C1.607	0	0	1	0	0	1
KH2013:KH.C1.608	17	66	48	20	23	66
KH2013:KH.C1.609	320	718	449	225	265	1094
KH2013:KH.C1.61	2	3	3	2	1	2
KH2013:KH.C1.610	69	105	66	47	53	184
KH2013:KH.C1.611	744	3632	849	856	1688	3229
KH2013:KH.C1.612	4647	10803	5363	2984	4026	14319
KH2013:KH.C1.613	11	12	8	7	10	26
KH2013:KH.C1.614	5	1	4	10	4	7
KH2013:KH.C1.615	84	213	131	101	101	420
KH2013:KH.C1.616	15	28	10	8	6	49
KH2013:KH.C1.617	30	119	48	45	38	153
KH2013:KH.C1.618	72	220	89	50	76	364
KH2013:KH.C1.619	6	18	9	9	8	47
KH2013:KH.C1.62	35	104	60	34	38	122
KH2013:KH.C1.620	143	317	189	80	121	553
KH2013:KH.C1.621	340	920	412	197	254	1266
KH2013:KH.C1.622	116	287	137	72	82	351
KH2013:KH.C1.623	0	2	1	0	4	5
KH2013:KH.C1.624	80	178	71	56	59	233
KH2013:KH.C1.625	147	432	228	111	157	571
KH2013:KH.C1.626	30	47	15	28	22	46
KH2013:KH.C1.627	0	0	0	0	1	0
KH2013:KH.C1.628	87	244	115	48	53	318
KH2013:KH.C1.629	400	938	385	222	398	1213
KH2013:KH.C1.63	116	239	116	87	110	392
KH2013:KH.C1.630	11	25	10	8	11	40
KH2013:KH.C1.631	213	671	301	146	163	1173
KH2013:KH.C1.632	73	180	71	23	44	221
KH2013:KH.C1.633	880	2116	1102	671	770	3206
KH2013:KH.C1.634	108	328	171	93	119	511
KH2013:KH.C1.635	0	5	4	1	2	4
KH2013:KH.C1.636	2	6	2	0	7	4
KH2013:KH.C1.637	563	1354	678	450	641	2009
KH2013:KH.C1.638	10	27	12	26	27	50
KH2013:KH.C1.639	16	85	43	16	14	170
KH2013:KH.C1.64	78	174	72	59	71	234
KH2013:KH.C1.640	0	1	0	0	0	2
KH2013:KH.C1.641	165	506	271	110	121	739
KH2013:KH.C1.642	1	5	4	0	1	23
KH2013:KH.C1.643	47	106	55	21	38	153
KH2013:KH.C1.644	90	195	126	84	105	304
KH2013:KH.C1.645	0	0	1	0	0	1
KH2013:KH.C1.646	26	55	28	18	21	79
KH2013:KH.C1.647	24	39	22	15	19	70
KH2013:KH.C1.648	5	8	4	3	3	5
KH2013:KH.C1.649	62	123	59	42	50	144
KH2013:KH.C1.65	58	184	83	44	57	196
KH2013:KH.C1.650	1	8	7	4	6	10
KH2013:KH.C1.651	12	29	19	11	5	40
KH2013:KH.C1.652	43	96	44	37	40	111
KH2013:KH.C1.653	78	230	110	78	71	393
KH2013:KH.C1.654	244	578	338	198	173	1018
KH2013:KH.C1.655	156	348	230	126	141	619
KH2013:KH.C1.656	3	9	6	0	4	11
KH2013:KH.C1.657	1	9	3	0	2	14
KH2013:KH.C1.658	0	4	0	0	1	6
KH2013:KH.C1.659	13	32	14	4	8	52
KH2013:KH.C1.66	121	264	180	100	144	456
KH2013:KH.C1.660	1	6	6	4	3	12
KH2013:KH.C1.661	791	2047	800	519	798	2609
KH2013:KH.C1.662	74	173	65	58	71	239
KH2013:KH.C1.663	75	189	102	55	59	268
KH2013:KH.C1.664	21	99	35	15	20	161
KH2013:KH.C1.665	8	21	11	12	24	35
KH2013:KH.C1.666	23	153	36	34	73	102
KH2013:KH.C1.667	2	12	11	6	4	32
KH2013:KH.C1.668	1	1	0	0	0	0
KH2013:KH.C1.669	1704	3650	2004	1035	1011	6479
KH2013:KH.C1.67	45	135	71	51	43	194
KH2013:KH.C1.670	170	486	226	107	177	729
KH2013:KH.C1.671	9	11	7	2	5	20
KH2013:KH.C1.672	0	0	0	1	0	1
KH2013:KH.C1.673	0	2	1	0	0	0
KH2013:KH.C1.674	869	2015	936	682	889	2925
KH2013:KH.C1.675	287	627	325	202	256	869
KH2013:KH.C1.676	1	3	1	0	0	3
KH2013:KH.C1.677	741	1563	815	530	516	2419
KH2013:KH.C1.678	106	247	159	71	89	368
KH2013:KH.C1.679	74	201	119	64	84	370
KH2013:KH.C1.68	42	111	65	31	50	166
KH2013:KH.C1.680	16	66	29	26	32	68
KH2013:KH.C1.681	121	350	193	84	122	482
KH2013:KH.C1.682	0	0	1	1	1	1
KH2013:KH.C1.683	1625	3791	2138	1221	1564	5760
KH2013:KH.C1.684	121	389	215	81	104	457
KH2013:KH.C1.685	71	127	47	28	58	137
KH2013:KH.C1.686	0	3	4	5	8	12
KH2013:KH.C1.687	0	8	1	0	2	5
KH2013:KH.C1.688	452	1303	558	252	321	1659
KH2013:KH.C1.689	172	399	160	115	122	508
KH2013:KH.C1.69	0	1	0	0	0	0
KH2013:KH.C1.690	283	729	411	238	252	1314
KH2013:KH.C1.691	2	17	6	1	6	19
KH2013:KH.C1.692	6	23	12	4	5	18
KH2013:KH.C1.693	130	448	207	138	151	479
KH2013:KH.C1.694	93	130	86	57	79	165
KH2013:KH.C1.695	134	289	139	115	149	480
KH2013:KH.C1.696	0	1	0	0	0	4
KH2013:KH.C1.697	888	1549	1106	802	842	2547
KH2013:KH.C1.698	2	10	2	2	1	13
KH2013:KH.C1.699	123	392	203	103	150	579
KH2013:KH.C1.7	454	1087	677	421	488	2069
KH2013:KH.C1.70	682	1882	1073	509	603	3389
KH2013:KH.C1.700	52	93	39	42	54	127
KH2013:KH.C1.701	22	73	32	25	30	129
KH2013:KH.C1.702	135	523	261	121	136	708
KH2013:KH.C1.703	20	104	36	24	40	121
KH2013:KH.C1.704	85	270	129	77	113	459
KH2013:KH.C1.705	386	983	469	312	451	1337
KH2013:KH.C1.706	2	86	49	9	2	139
KH2013:KH.C1.707	1	2	0	0	0	0
KH2013:KH.C1.708	289	594	323	233	210	873
KH2013:KH.C1.709	7	42	21	11	10	50
KH2013:KH.C1.71	42	125	76	29	47	165
KH2013:KH.C1.710	329	820	528	320	361	1340
KH2013:KH.C1.711	108	276	124	86	94	300
KH2013:KH.C1.712	0	0	0	0	0	4
KH2013:KH.C1.713	0	2	0	0	0	0
KH2013:KH.C1.714	1	12	2	0	2	13
KH2013:KH.C1.715	8	21	11	10	9	17
KH2013:KH.C1.716	16	25	8	9	10	34
KH2013:KH.C1.717	204	552	273	136	169	827
KH2013:KH.C1.718	0	0	0	0	0	1
KH2013:KH.C1.719	18	90	45	25	27	163
KH2013:KH.C1.72	160	323	147	82	121	478
KH2013:KH.C1.720	65	231	106	52	76	383
KH2013:KH.C1.721	243	597	298	187	205	849
KH2013:KH.C1.722	312	696	436	222	283	1067
KH2013:KH.C1.723	17	23	8	5	9	27
KH2013:KH.C1.724	82	219	132	60	80	276
KH2013:KH.C1.725	693	1600	927	519	674	2605
KH2013:KH.C1.726	334	918	423	239	357	1215
KH2013:KH.C1.727	4	48	7	18	15	104
KH2013:KH.C1.728	10369	19547	11744	5511	8110	26263
KH2013:KH.C1.729	154	410	174	41	120	627
KH2013:KH.C1.73	744	2011	1028	593	813	2842
KH2013:KH.C1.730	23	96	64	34	19	94
KH2013:KH.C1.731	46	80	11	20	36	112
KH2013:KH.C1.732	9	9	4	3	4	31
KH2013:KH.C1.733	219	518	238	179	208	725
KH2013:KH.C1.734	111	285	137	90	112	448
KH2013:KH.C1.735	1	9	6	2	3	13
KH2013:KH.C1.736	233	565	269	200	196	931
KH2013:KH.C1.737	28	130	34	30	45	197
KH2013:KH.C1.738	562	1088	715	502	688	1845
KH2013:KH.C1.739	207	553	287	165	222	883
KH2013:KH.C1.74	328	1034	532	259	353	1703
KH2013:KH.C1.740	857	2171	1161	656	861	2808
KH2013:KH.C1.741	144	222	114	82	71	351
KH2013:KH.C1.742	1	12	9	2	5	3
KH2013:KH.C1.743	160	397	218	141	175	542
KH2013:KH.C1.744	54	117	84	25	38	182
KH2013:KH.C1.745	3	3	1	1	3	10
KH2013:KH.C1.746	4	4	4	2	0	18
KH2013:KH.C1.747	83	277	97	90	160	267
KH2013:KH.C1.748	53	145	79	46	70	226
KH2013:KH.C1.749	17	30	19	4	18	63
KH2013:KH.C1.75	64	132	82	43	53	207
KH2013:KH.C1.750	515	1516	902	237	445	2628
KH2013:KH.C1.751	11	38	15	2	17	34
KH2013:KH.C1.752	30	45	26	22	26	66
KH2013:KH.C1.753	262	550	354	182	239	944
KH2013:KH.C1.754	64	123	76	48	48	230
KH2013:KH.C1.755	540	4603	453	868	231	10052
KH2013:KH.C1.756	114	305	189	74	106	493
KH2013:KH.C1.757	18	78	39	18	24	105
KH2013:KH.C1.758	44	83	50	46	44	102
KH2013:KH.C1.759	30	80	31	29	33	121
KH2013:KH.C1.76	1	5	0	0	2	3
KH2013:KH.C1.760	208	562	315	166	221	839
KH2013:KH.C1.761	0	0	0	0	1	1
KH2013:KH.C1.762	234	537	275	184	229	864
KH2013:KH.C1.763	1	0	0	0	0	0
KH2013:KH.C1.764	20	63	16	13	35	106
KH2013:KH.C1.765	26	53	30	21	23	119
KH2013:KH.C1.766	0	1	0	0	0	1
KH2013:KH.C1.767	240	820	463	214	288	1117
KH2013:KH.C1.768	409	1052	488	363	474	1575
KH2013:KH.C1.769	1	3	0	0	3	0
KH2013:KH.C1.77	86	241	141	63	78	339
KH2013:KH.C1.770	342	871	444	299	344	1454
KH2013:KH.C1.771	2	8	5	3	1	22
KH2013:KH.C1.772	25	86	32	20	23	111
KH2013:KH.C1.773	13	43	37	8	8	113
KH2013:KH.C1.774	111	251	99	81	109	376
KH2013:KH.C1.775	22	62	30	14	21	101
KH2013:KH.C1.776	65	142	61	39	49	246
KH2013:KH.C1.777	174	696	224	289	251	753
KH2013:KH.C1.778	184	348	213	119	174	576
KH2013:KH.C1.779	1	13	7	4	4	4
KH2013:KH.C1.78	30	104	49	28	41	135
KH2013:KH.C1.780	1441	3470	1944	1087	1358	5292
KH2013:KH.C1.781	0	1	0	0	0	0
KH2013:KH.C1.782	64	147	106	45	55	180
KH2013:KH.C1.783	54	122	57	28	42	157
KH2013:KH.C1.784	0	1	0	0	0	0
KH2013:KH.C1.785	1	21	10	0	1	13
KH2013:KH.C1.786	134	306	176	115	133	489
KH2013:KH.C1.787	249	657	361	318	353	1168
KH2013:KH.C1.788	193	503	273	149	184	691
KH2013:KH.C1.789	232	459	270	144	203	829
KH2013:KH.C1.79	26	59	35	19	28	118
KH2013:KH.C1.791	9	44	28	14	12	62
KH2013:KH.C1.792	2	0	0	0	0	1
KH2013:KH.C1.793	27	65	40	17	28	112
KH2013:KH.C1.794	2	0	2	0	0	1
KH2013:KH.C1.795	228	510	259	139	208	744
KH2013:KH.C1.796	9	47	30	12	20	62
KH2013:KH.C1.797	12	61	33	16	17	96
KH2013:KH.C1.798	298	884	416	211	289	1366
KH2013:KH.C1.799	3	10	4	1	1	17
KH2013:KH.C1.8	0	13	3	4	5	0
KH2013:KH.C1.80	267	733	401	257	320	1135
KH2013:KH.C1.800	13	71	21	8	11	93
KH2013:KH.C1.801	5	26	22	11	8	34
KH2013:KH.C1.802	21	137	35	38	39	100
KH2013:KH.C1.803	55	153	70	67	71	219
KH2013:KH.C1.804	4	1	2	1	2	0
KH2013:KH.C1.805	3	0	0	1	1	5
KH2013:KH.C1.806	38	111	53	35	43	196
KH2013:KH.C1.807	120	220	96	80	101	270
KH2013:KH.C1.808	0	2	2	0	0	0
KH2013:KH.C1.809	114	294	110	67	99	379
KH2013:KH.C1.81	106	288	146	71	98	399
KH2013:KH.C1.810	33	110	50	39	40	148
KH2013:KH.C1.811	4	6	4	1	2	2
KH2013:KH.C1.812	12	20	1	4	1	11
KH2013:KH.C1.813	289	689	316	201	238	857
KH2013:KH.C1.814	301	857	400	214	377	1264
KH2013:KH.C1.815	119	247	103	74	123	360
KH2013:KH.C1.816	2	11	4	2	0	7
KH2013:KH.C1.817	0	0	0	0	0	1
KH2013:KH.C1.818	72	169	126	59	75	256
KH2013:KH.C1.819	19	99	28	23	46	82
KH2013:KH.C1.82	64	150	76	41	51	252
KH2013:KH.C1.820	0	0	0	0	0	1
KH2013:KH.C1.821	250	573	301	160	220	717
KH2013:KH.C1.822	997	1822	964	716	749	2821
KH2013:KH.C1.823	54	87	42	37	47	127
KH2013:KH.C1.824	280	1039	490	277	332	1385
KH2013:KH.C1.825	4	22	10	5	24	45
KH2013:KH.C1.826	126	365	168	92	131	573
KH2013:KH.C1.827	17	36	36	13	18	79
KH2013:KH.C1.828	370	834	381	220	356	1112
KH2013:KH.C1.829	6	32	14	3	12	24
KH2013:KH.C1.83	895	1929	1071	644	878	2871
KH2013:KH.C1.830	14	20	5	8	4	29
KH2013:KH.C1.831	170	433	167	119	177	610
KH2013:KH.C1.832	59	330	253	190	124	697
KH2013:KH.C1.833	74	180	104	49	61	260
KH2013:KH.C1.834	476	1144	603	406	410	1699
KH2013:KH.C1.835	197	701	228	252	364	849
KH2013:KH.C1.836	185	489	277	160	176	854
KH2013:KH.C1.837	120	421	155	149	221	465
KH2013:KH.C1.838	40	72	26	24	20	132
KH2013:KH.C1.839	419	1043	539	261	399	1676
KH2013:KH.C1.84	0	1	5	1	0	3
KH2013:KH.C1.840	52	115	54	31	41	173
KH2013:KH.C1.841	62	153	70	36	56	223
KH2013:KH.C1.842	141	213	135	87	116	320
KH2013:KH.C1.843	109	324	134	89	106	454
KH2013:KH.C1.844	12	3	0	17	14	2
KH2013:KH.C1.845	1	0	0	0	0	1
KH2013:KH.C1.846	47	155	102	55	68	286
KH2013:KH.C1.847	0	4	0	0	0	4
KH2013:KH.C1.848	120	272	155	96	120	426
KH2013:KH.C1.849	1	7	1	0	0	6
KH2013:KH.C1.85	67	263	140	58	67	396
KH2013:KH.C1.850	128	337	170	97	127	437
KH2013:KH.C1.851	68	147	102	43	64	232
KH2013:KH.C1.852	26	40	18	8	16	94
KH2013:KH.C1.853	8	26	5	22	13	13
KH2013:KH.C1.854	669	1530	802	504	594	2291
KH2013:KH.C1.855	9	24	7	4	17	16
KH2013:KH.C1.856	1	4	0	0	2	11
KH2013:KH.C1.857	0	1	0	1	0	2
KH2013:KH.C1.858	811	1745	914	575	806	2689
KH2013:KH.C1.859	4	9	17	5	6	41
KH2013:KH.C1.86	67	232	119	77	81	330
KH2013:KH.C1.860	576	1350	784	497	597	2125
KH2013:KH.C1.861	165	400	208	104	131	650
KH2013:KH.C1.862	10	1	5	5	4	8
KH2013:KH.C1.863	73	206	107	50	74	319
KH2013:KH.C1.864	116	342	147	67	96	457
KH2013:KH.C1.865	1618	4401	2291	1185	1483	7085
KH2013:KH.C1.866	14	21	9	29	24	39
KH2013:KH.C1.867	46	132	61	48	70	196
KH2013:KH.C1.868	0	0	1	0	0	1
KH2013:KH.C1.869	0	0	0	0	0	2
KH2013:KH.C1.87	30	63	20	27	30	77
KH2013:KH.C1.870	76	419	109	70	168	343
KH2013:KH.C1.871	93	211	149	63	137	408
KH2013:KH.C1.872	0	8	7	0	2	15
KH2013:KH.C1.873	5	13	11	7	8	23
KH2013:KH.C1.874	2	6	1	1	0	7
KH2013:KH.C1.875	76	166	90	47	66	203
KH2013:KH.C1.876	247	671	299	193	214	854
KH2013:KH.C1.877	5	5	2	0	0	0
KH2013:KH.C1.878	931	2341	1054	655	844	2736
KH2013:KH.C1.879	8	2	7	0	4	9
KH2013:KH.C1.88	293	795	307	361	310	939
KH2013:KH.C1.880	100	322	179	92	90	467
KH2013:KH.C1.881	50	114	76	68	84	234
KH2013:KH.C1.882	160	416	195	106	178	612
KH2013:KH.C1.883	215	601	280	221	222	970
KH2013:KH.C1.884	224	606	269	166	220	805
KH2013:KH.C1.885	0	0	0	0	1	1
KH2013:KH.C1.886	9	8	6	4	11	29
KH2013:KH.C1.887	0	19	1	4	5	29
KH2013:KH.C1.888	10	25	8	19	8	48
KH2013:KH.C1.889	852	2230	925	614	914	2996
KH2013:KH.C1.89	327	690	303	220	306	927
KH2013:KH.C1.890	12	41	24	9	15	55
KH2013:KH.C1.891	3	1	1	0	0	3
KH2013:KH.C1.892	97	227	88	52	95	333
KH2013:KH.C1.893	3	40	19	11	16	79
KH2013:KH.C1.894	988	2312	1267	797	1113	3614
KH2013:KH.C1.895	0	0	0	0	0	2
KH2013:KH.C1.896	292	698	366	219	294	1093
KH2013:KH.C1.897	29	64	44	23	24	149
KH2013:KH.C1.898	425	1119	620	360	462	1688
KH2013:KH.C1.899	3	15	16	6	10	15
KH2013:KH.C1.9	0	1	0	0	1	0
KH2013:KH.C1.90	15	29	24	54	19	70
KH2013:KH.C1.900	10	52	8	4	18	34
KH2013:KH.C1.901	257	730	345	186	261	928
KH2013:KH.C1.902	63	195	113	87	107	328
KH2013:KH.C1.903	32	95	62	30	34	172
KH2013:KH.C1.904	628	1751	817	544	633	2270
KH2013:KH.C1.905	10	34	11	18	17	68
KH2013:KH.C1.906	8	29	27	1	9	52
KH2013:KH.C1.907	4	25	10	4	6	36
KH2013:KH.C1.908	336	749	386	201	294	1135
KH2013:KH.C1.909	28	45	25	16	27	76
KH2013:KH.C1.91	0	0	0	0	0	0
KH2013:KH.C1.910	6	28	5	7	6	30
KH2013:KH.C1.911	145	460	174	127	147	585
KH2013:KH.C1.912	880	1994	1008	656	805	3258
KH2013:KH.C1.913	1	2	3	0	2	10
KH2013:KH.C1.914	308	764	424	280	330	1091
KH2013:KH.C1.915	2	3	0	0	0	0
KH2013:KH.C1.916	20	27	73	44	47	158
KH2013:KH.C1.917	7	25	5	9	10	19
KH2013:KH.C1.918	141	328	126	127	164	489
KH2013:KH.C1.919	0	5	0	3	0	8
KH2013:KH.C1.92	220	669	353	162	182	963
KH2013:KH.C1.920	104	350	171	91	133	447
KH2013:KH.C1.921	0	0	0	0	0	1
KH2013:KH.C1.922	41	109	28	26	29	74
KH2013:KH.C1.923	4	25	9	3	8	17
KH2013:KH.C1.924	2	3	1	0	2	2
KH2013:KH.C1.925	1	23	4	1	2	1
KH2013:KH.C1.926	0	30	6	0	1	27
KH2013:KH.C1.927	20	72	33	15	22	89
KH2013:KH.C1.928	112	283	128	92	123	433
KH2013:KH.C1.929	4	33	13	12	3	48
KH2013:KH.C1.93	35	327	60	86	167	366
KH2013:KH.C1.930	186	569	308	132	194	757
KH2013:KH.C1.931	1142	2457	875	721	552	2362
KH2013:KH.C1.932	29	62	40	24	38	98
KH2013:KH.C1.933	104	284	183	96	136	504
KH2013:KH.C1.934	1	0	1	2	1	9
KH2013:KH.C1.935	17	58	25	9	6	124
KH2013:KH.C1.936	216	522	284	175	221	805
KH2013:KH.C1.937	40	86	56	16	28	113
KH2013:KH.C1.938	149	303	167	94	138	437
KH2013:KH.C1.94	182	461	223	168	167	651
KH2013:KH.C1.940	668	2127	1055	768	956	2872
KH2013:KH.C1.941	25	51	31	26	8	66
KH2013:KH.C1.942	4	65	32	8	10	84
KH2013:KH.C1.943	30	65	55	38	38	139
KH2013:KH.C1.944	165	375	227	83	121	505
KH2013:KH.C1.945	9	14	8	7	8	34
KH2013:KH.C1.946	4	20	7	2	10	17
KH2013:KH.C1.947	59	162	81	60	83	210
KH2013:KH.C1.948	110	184	111	67	107	361
KH2013:KH.C1.949	0	2	1	1	3	3
KH2013:KH.C1.95	0	0	0	0	0	3
KH2013:KH.C1.950	1	7	1	1	1	2
KH2013:KH.C1.951	226	636	322	184	190	786
KH2013:KH.C1.952	70	102	55	57	52	152
KH2013:KH.C1.953	15	47	37	11	5	83
KH2013:KH.C1.954	1	3	0	1	2	0
KH2013:KH.C1.955	4	33	10	22	12	84
KH2013:KH.C1.956	50	143	70	35	53	251
KH2013:KH.C1.957	0	4	1	0	0	1
KH2013:KH.C1.958	114	379	200	106	142	501
KH2013:KH.C1.959	1	1	3	2	4	0
KH2013:KH.C1.96	568	1238	629	431	529	1992
KH2013:KH.C1.960	194	453	248	112	147	779
KH2013:KH.C1.961	0	0	0	0	0	0
KH2013:KH.C1.962	385	1045	515	394	433	1595
KH2013:KH.C1.963	8	36	4	12	24	44
KH2013:KH.C1.964	111	335	133	98	115	429
KH2013:KH.C1.965	27	67	37	26	28	75
KH2013:KH.C1.966	107	382	204	97	161	575
KH2013:KH.C1.967	113	323	163	79	89	346
KH2013:KH.C1.968	23	88	25	25	40	78
KH2013:KH.C1.969	0	2	3	2	3	1
KH2013:KH.C1.97	376	821	516	250	299	1404
KH2013:KH.C1.970	27	55	15	18	28	62
KH2013:KH.C1.971	446	988	546	280	327	1435
KH2013:KH.C1.972	304	808	443	199	345	1293
KH2013:KH.C1.973	34	24	17	19	34	51
KH2013:KH.C1.974	2	10	3	1	3	16
KH2013:KH.C1.975	139	364	174	113	157	579
KH2013:KH.C1.976	118	295	123	78	79	392
KH2013:KH.C1.977	25	45	33	24	26	94
KH2013:KH.C1.978	72	215	137	68	95	314
KH2013:KH.C1.979	92	232	138	36	73	392
KH2013:KH.C1.98	333	979	635	446	486	1521
KH2013:KH.C1.980	295	678	309	243	259	1098
KH2013:KH.C1.981	2	16	6	6	2	19
KH2013:KH.C1.982	92	170	93	61	74	316
KH2013:KH.C1.983	276	573	327	335	357	901
KH2013:KH.C1.984	3	22	3	8	15	32
KH2013:KH.C1.985	579	1457	676	451	565	2081
KH2013:KH.C1.986	247	722	338	172	213	996
KH2013:KH.C1.987	692	1884	918	438	593	2610
KH2013:KH.C1.988	3	22	10	15	13	26
KH2013:KH.C1.989	35	90	69	30	50	176
KH2013:KH.C1.99	117	310	174	168	181	360
KH2013:KH.C1.990	135	364	207	125	147	573
KH2013:KH.C1.991	24	41	29	21	18	87
KH2013:KH.C1.992	26	60	37	25	14	94
KH2013:KH.C1.993	31	75	30	14	12	96
KH2013:KH.C1.994	3501	7338	3560	2656	3413	10339
KH2013:KH.C1.995	243	657	292	211	230	955
KH2013:KH.C1.996	392	1088	487	318	463	1413
KH2013:KH.C1.997	208	506	212	127	171	648
KH2013:KH.C1.998	149	450	225	144	176	592
KH2013:KH.C1.999	1	5	3	0	0	1
KH2013:KH.C2.1	32	111	25	34	32	136
KH2013:KH.C2.10	373	914	279	290	392	1024
KH2013:KH.C2.100	685	1461	814	542	674	2114
KH2013:KH.C2.1000	194	556	238	159	220	812
KH2013:KH.C2.1001	2	3	4	0	5	6
KH2013:KH.C2.1002	4	25	7	6	7	22
KH2013:KH.C2.1003	146	340	172	102	122	469
KH2013:KH.C2.1004	2	15	3	7	1	21
KH2013:KH.C2.1005	1	1	0	1	2	2
KH2013:KH.C2.1006	3404	9801	4963	2241	3043	13782
KH2013:KH.C2.1007	53	234	103	52	71	222
KH2013:KH.C2.1008	0	2	0	1	1	0
KH2013:KH.C2.1009	70	132	81	52	51	268
KH2013:KH.C2.101	87	319	102	121	157	340
KH2013:KH.C2.1010	3	17	3	7	10	11
KH2013:KH.C2.1011	2	0	0	6	5	0
KH2013:KH.C2.1012	87	265	142	50	61	488
KH2013:KH.C2.1013	18	52	16	23	29	72
KH2013:KH.C2.1014	6	18	6	2	3	31
KH2013:KH.C2.1015	17	45	13	5	16	62
KH2013:KH.C2.1016	13	40	31	3	15	40
KH2013:KH.C2.1017	212	571	339	199	262	838
KH2013:KH.C2.1018	367	1102	521	258	439	1580
KH2013:KH.C2.1019	54	149	73	53	59	196
KH2013:KH.C2.102	1	1	0	2	3	2
KH2013:KH.C2.1020	284	684	378	190	218	1107
KH2013:KH.C2.1021	1	1	0	1	0	3
KH2013:KH.C2.1022	106	238	174	90	95	429
KH2013:KH.C2.1023	16	49	26	17	15	56
KH2013:KH.C2.1024	95	227	123	76	104	384
KH2013:KH.C2.1025	11	1	1	11	6	9
KH2013:KH.C2.1026	1460	3365	1242	680	779	3215
KH2013:KH.C2.1027	153	353	187	121	139	527
KH2013:KH.C2.1028	334	888	440	268	347	1266
KH2013:KH.C2.1029	80	166	108	60	79	303
KH2013:KH.C2.103	211	600	293	219	260	971
KH2013:KH.C2.1030	0	5	1	0	0	1
KH2013:KH.C2.1031	14	34	21	10	21	50
KH2013:KH.C2.1032	1	11	4	2	0	3
KH2013:KH.C2.1033	3	4	3	8	7	21
KH2013:KH.C2.1034	126	398	159	142	154	450
KH2013:KH.C2.1035	3	13	0	2	2	6
KH2013:KH.C2.1036	2	11	2	3	6	10
KH2013:KH.C2.1037	1	9	3	1	5	14
KH2013:KH.C2.1038	150	403	196	123	176	586
KH2013:KH.C2.1039	2	0	0	1	0	0
KH2013:KH.C2.104	71	289	99	64	93	364
KH2013:KH.C2.1040	4	15	8	2	5	25
KH2013:KH.C2.1041	49	92	46	19	33	123
KH2013:KH.C2.1042	28	72	33	16	19	114
KH2013:KH.C2.1043	1	0	1	0	0	5
KH2013:KH.C2.1044	4	9	2	1	6	5
KH2013:KH.C2.1045	236	489	260	199	170	659
KH2013:KH.C2.1046	50	309	143	21	49	362
KH2013:KH.C2.1047	16	51	19	19	24	89
KH2013:KH.C2.1048	31	94	54	19	44	113
KH2013:KH.C2.1049	1	2	0	0	3	3
KH2013:KH.C2.105	142	330	216	134	120	562
KH2013:KH.C2.1050	6	35	5	6	8	28
KH2013:KH.C2.1051	49	197	74	46	76	266
KH2013:KH.C2.1052	0	1	0	0	2	0
KH2013:KH.C2.1053	14	15	13	33	41	64
KH2013:KH.C2.1054	2	1	2	0	3	9
KH2013:KH.C2.1055	0	2	1	3	1	2
KH2013:KH.C2.1056	31	84	21	12	23	98
KH2013:KH.C2.1057	47	158	79	46	73	262
