foxf1_ko_10hpf_rnaseq_june_6	foxf_ko_10hpf_rnaseq_may_31	lacz1_ko_10hpf_rnaseq_may_31	lacz2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_may_31
KH2013:KH.C10.21	111	227	122	66	108	366
KH2013:KH.C10.210	1	4	1	0	0	0
KH2013:KH.C10.211	211	630	259	175	199	841
KH2013:KH.C10.212	108	261	140	62	100	399
KH2013:KH.C10.213	0	6	1	0	3	8
KH2013:KH.C10.214	23	53	31	18	14	74
KH2013:KH.C10.215	1	1	0	1	3	0
KH2013:KH.C10.216	14	56	26	13	26	94
KH2013:KH.C10.217	112	262	91	73	117	375
KH2013:KH.C10.218	189	436	230	115	184	593
KH2013:KH.C10.219	18	26	14	6	14	50
KH2013:KH.C10.22	411	720	349	273	379	1134
KH2013:KH.C10.220	9	44	13	9	19	45
KH2013:KH.C10.221	135	381	99	104	94	461
KH2013:KH.C10.222	210	416	188	157	195	627
KH2013:KH.C10.223	132	328	140	123	170	578
KH2013:KH.C10.224	46	126	49	31	33	186
KH2013:KH.C10.225	1	2	0	0	0	2
KH2013:KH.C10.226	114	355	185	82	108	485
KH2013:KH.C10.227	0	1	0	0	0	0
KH2013:KH.C10.228	8	39	16	5	10	25
KH2013:KH.C10.229	1024	3301	1585	1805	2019	4637
KH2013:KH.C10.23	130	287	187	88	136	379
KH2013:KH.C10.230	0	2	0	0	0	0
KH2013:KH.C10.231	416	1087	538	179	300	1598
KH2013:KH.C10.232	525	1444	720	412	558	2207
KH2013:KH.C10.233	0	3	1	0	2	1
KH2013:KH.C10.234	255	670	424	211	333	966
KH2013:KH.C10.235	1	5	0	0	1	1
KH2013:KH.C10.236	74	216	111	56	67	252
KH2013:KH.C10.237	1	0	1	0	1	7
KH2013:KH.C10.238	361	817	550	248	363	1443
KH2013:KH.C10.239	154	299	128	78	156	453
KH2013:KH.C10.24	8	44	24	7	11	43
KH2013:KH.C10.240	159	330	176	114	181	610
KH2013:KH.C10.241	30	127	42	33	63	99
KH2013:KH.C10.242	247	581	325	236	300	907
KH2013:KH.C10.243	305	809	425	284	293	1137
KH2013:KH.C10.244	3	1	1	1	1	11
KH2013:KH.C10.245	182	355	204	106	125	540
KH2013:KH.C10.246	2018	4815	2241	844	1265	6527
KH2013:KH.C10.247	35	71	45	30	27	105
KH2013:KH.C10.248	383	974	535	264	376	1472
KH2013:KH.C10.249	85	136	82	47	61	217
KH2013:KH.C10.25	19	38	21	12	34	58
KH2013:KH.C10.250	5638	13358	6680	2791	4020	18732
KH2013:KH.C10.251	84	253	118	76	114	358
KH2013:KH.C10.252	49	144	67	39	34	205
KH2013:KH.C10.253	168	383	157	85	161	554
KH2013:KH.C10.254	3	8	0	0	1	7
KH2013:KH.C10.255	16	65	49	18	30	85
KH2013:KH.C10.256	273	592	319	153	230	970
KH2013:KH.C10.257	45	189	84	30	36	170
KH2013:KH.C10.258	1004	2688	1571	891	1141	4184
KH2013:KH.C10.259	105	237	124	106	102	415
KH2013:KH.C10.26	31	111	51	30	36	134
KH2013:KH.C10.260	190	349	167	124	167	503
KH2013:KH.C10.261	0	0	0	0	0	0
KH2013:KH.C10.262	3	11	6	1	0	16
KH2013:KH.C10.263	53	119	54	50	54	197
KH2013:KH.C10.264	58	139	45	45	79	190
KH2013:KH.C10.265	0	5	6	2	3	17
KH2013:KH.C10.266	7	5	1	0	4	2
KH2013:KH.C10.267	584	1695	1004	537	610	2362
KH2013:KH.C10.268	49	112	62	38	55	229
KH2013:KH.C10.269	4	8	0	1	1	6
KH2013:KH.C10.27	70	150	45	45	62	210
KH2013:KH.C10.270	86	195	88	47	53	334
KH2013:KH.C10.271	34	89	60	29	42	182
KH2013:KH.C10.272	62	143	70	35	76	227
KH2013:KH.C10.273	230	549	253	160	210	916
KH2013:KH.C10.274	117	243	113	86	93	415
KH2013:KH.C10.275	105	309	158	99	116	498
KH2013:KH.C10.276	17	45	34	16	27	76
KH2013:KH.C10.277	32	71	33	29	41	77
KH2013:KH.C10.278	143	412	175	117	131	634
KH2013:KH.C10.279	72	191	102	53	80	338
KH2013:KH.C10.28	15	26	9	5	15	44
KH2013:KH.C10.280	2458	5844	3012	1837	2513	8782
KH2013:KH.C10.281	0	0	0	1	0	0
KH2013:KH.C10.282	310	833	441	267	382	1185
KH2013:KH.C10.283	62	166	88	42	52	294
KH2013:KH.C10.284	0	2	0	1	0	1
KH2013:KH.C10.285	194	518	263	161	199	777
KH2013:KH.C10.286	58	188	92	70	58	430
KH2013:KH.C10.287	339	714	289	168	158	869
KH2013:KH.C10.288	62	238	99	59	72	292
KH2013:KH.C10.289	0	0	0	0	0	1
KH2013:KH.C10.29	0	0	0	0	0	0
KH2013:KH.C10.290	12	43	19	4	14	56
KH2013:KH.C10.291	192	552	242	140	192	672
KH2013:KH.C10.292	0	2	0	0	0	0
KH2013:KH.C10.294	123	371	188	127	113	624
KH2013:KH.C10.295	16	29	6	4	8	29
KH2013:KH.C10.296	243	591	299	171	237	776
KH2013:KH.C10.297	14	32	32	7	20	53
KH2013:KH.C10.298	21	51	17	8	17	62
KH2013:KH.C10.299	105	247	122	80	97	365
KH2013:KH.C10.3	63	194	60	44	57	219
KH2013:KH.C10.30	18	45	25	27	12	61
KH2013:KH.C10.300	1	0	0	0	0	1
KH2013:KH.C10.301	0	0	0	0	0	1
KH2013:KH.C10.302	0	1	0	0	0	0
KH2013:KH.C10.303	40	67	25	26	48	52
KH2013:KH.C10.304	373	1165	567	348	447	1585
KH2013:KH.C10.305	412	925	476	271	362	1461
KH2013:KH.C10.306	0	4	0	1	0	2
KH2013:KH.C10.307	1	2	1	1	0	0
KH2013:KH.C10.308	251	636	407	178	248	953
KH2013:KH.C10.309	4	17	15	4	9	55
KH2013:KH.C10.31	559	2036	924	485	737	2596
KH2013:KH.C10.310	173	386	205	98	151	566
KH2013:KH.C10.311	58	167	83	41	49	238
KH2013:KH.C10.312	0	0	0	0	0	0
KH2013:KH.C10.313	1	1	2	1	1	5
KH2013:KH.C10.314	43	143	84	25	37	212
KH2013:KH.C10.315	0	3	1	0	0	3
KH2013:KH.C10.316	2	8	3	1	3	7
KH2013:KH.C10.317	22	111	56	66	27	209
KH2013:KH.C10.318	16	37	12	12	13	54
KH2013:KH.C10.319	98	243	146	75	87	392
KH2013:KH.C10.32	4	2	4	3	4	12
KH2013:KH.C10.320	769	1934	898	406	634	2491
KH2013:KH.C10.321	28	78	30	17	23	83
KH2013:KH.C10.322	6	20	22	14	22	133
KH2013:KH.C10.324	99	190	119	61	80	312
KH2013:KH.C10.325	518	1242	699	400	483	1739
KH2013:KH.C10.326	2	15	0	5	9	17
KH2013:KH.C10.328	251	638	254	248	330	847
KH2013:KH.C10.329	197	459	217	164	207	705
KH2013:KH.C10.33	252	638	335	190	272	1048
KH2013:KH.C10.330	67	215	87	66	78	336
KH2013:KH.C10.331	0	2	1	0	0	2
KH2013:KH.C10.332	32	86	36	21	32	142
KH2013:KH.C10.334	56	148	73	55	66	198
KH2013:KH.C10.335	0	4	5	2	5	7
KH2013:KH.C10.336	2	17	5	6	7	26
KH2013:KH.C10.337	52	114	81	49	42	212
KH2013:KH.C10.338	9	63	14	10	9	0
KH2013:KH.C10.339	3	10	2	0	2	15
KH2013:KH.C10.34	91	289	135	55	112	370
KH2013:KH.C10.340	12	41	24	13	13	83
KH2013:KH.C10.341	0	2	0	0	0	2
KH2013:KH.C10.342	6	32	12	3	6	39
KH2013:KH.C10.343	10	28	16	2	12	28
KH2013:KH.C10.344	1	14	9	0	3	28
KH2013:KH.C10.345	109	264	111	52	97	371
KH2013:KH.C10.346	659	1685	1158	469	579	3162
KH2013:KH.C10.347	105	306	158	96	133	381
KH2013:KH.C10.348	16	22	10	5	13	20
KH2013:KH.C10.349	71	228	113	52	61	312
KH2013:KH.C10.35	3	9	2	4	6	8
KH2013:KH.C10.350	57	276	79	63	121	301
KH2013:KH.C10.351	4	22	6	11	5	15
KH2013:KH.C10.352	121	283	163	88	157	534
KH2013:KH.C10.353	0	4	1	2	5	1
KH2013:KH.C10.354	27	82	41	22	18	123
